,precision,recall,f1,preds,labels
0,20.531999999999996,11.369,14.214000000000002,"model: flan-t5-small
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,0,0,0,"[""I've been here twice and have been impressed with the service. I've been here"", 'The coffee shop is great. The staff is friendly and helpful.', ""I'm glad I did."", ""I'm not sure what I'm going to do with this place. I'm"", 'Gluten free', ""I'm a fan of the 'Standard' and the '"", ""I'm a fan of the food and service."", ""I'm a fan of the burgers."", ""I'm not sure what to expect from this place."", ""I've been here twice and have never had issues with the service."", ""I'm not a fan of the service.""]","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,0,0,0,"['supposed to be in a hotel', 's', 'service', ""--I'm sorry, but I'm not sure what happened. I'"", ""--I'm always skeptical of oysters in Nevada, but I'm open"", 'experience', ""--I'm not sure what to expect from this place."", 'supidently good service', 'ly and delicious!', ""--It's a great place to hang out with friends and enjoy some"", 'ly']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'river walk', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,0,0,0,"['experience', 'memories', '', 'capped with crab balls and sauce', 'ping', 'GOOD SERVICE AND SERVICE', 'shabby', '/location/location/location/location/location/location/location/location/', 'Outstanding service! Excellent food! Excellent service! Excellent service! Excellent quality workmanship! Excellent service!', 'going to Taco Lindo', 'experience']","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,5.0,5.56,5.26,"['Outstanding service, friendly staff, and friendly environment', 'Outstanding service, friendly staff, and friendly environment', 'Ceilidge, Pilates, Pilates, Yoga, Pilates, Yoga, Pilates, Yoga, Pilates', 'Snakefish', 'GOOD', 'Pet rescue groups should consider trying this model out to raise money for their pet adoption efforts.', 'Outstanding beer, beer, beer', 'Outstanding exhibit exhibit, exhibit exhibit, exhibit exhibit, exhibit exhibit, exhibit exhibit, exhibit exhibit,', 'Outstanding workmanship', 'GOODNESS', 'Outstanding workmanship']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,18.18,7.41,10.53,"['None', 'None', 'Outstanding, deli, sandwiches, homemade chocolate, brownies, brownies, playroom', 'None', 'None', 'Outstanding view off deck', 'None', 'None', 'None', 'None', 'None']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,45.45,17.86,25.64,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,27.27,7.32,11.54,"['None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,23.08,13.64,17.14,"['meal, mimosas, Mexican food', 'tattoo, therapeutic sketching', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None', 'None']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,42.86,28.57,34.29,"['None', 'None', 'None', 'None', 'open forum', 'None', 'None', 'airboat ride down the road', 'None', 'fundraiser program, outreach program, at-risk youth', 'closed ""regular"" tables']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
10,43.48,33.33,37.74,"['petting zoo, rooster, goat, pigs,', 'beer tour guides, beer tour guides, beer tour guides', 'flying V Bar and Grill', 'scratch off lottery machine, keno, computer nascar style racing, computer football', 'None', 'playground, playground, playground, playground', 'lottery tickets, scratchers, boba, danishes, egg sandwiches,', 'None', 'None', 'None', 'International Buffet, AVA amphitheater']","['petting zoo, rooster, goat, pigs, cutest little piglet', 'their tour, 10 dollar fresh day tour, free tour, their museum, Clydesdales horses', 'tips, hikes, activities, golf course', 'scratch off lottery machine, keno, computer nascar style racing, computer football', 'capoiera/zumba studio', 'parklands, Goose Creek Park, playground', 'lottery tickets/scratchers', 'None', 'peacocks, long public dock', 'None', 'Casinos, concert, AVA amphitheater']"
