,chatgpt_output,gold,added,__index_level_0__
0,The following sentences describe various aspects of a restaurant: Each karaoke room has its own bathroom. The restaurant has a karaoke venue with private rooms. The restaurant has a language barrier problem with staff. The restaurant has a dead microphone that was not replaced.,The restaurant has a karaoke venue with private rooms.,,3
1,The following sentences describe various aspects of a restaurant: The restaurant has a playroom for kids.,The restaurant has a nice playroom for the kids.,,117
2,The following sentences describe various aspects of a restaurant: The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.,The sushi chef once did a puppet show for customers sitting at the counter.,,112
3,"The following sentences describe various aspects of a restaurant: The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing. The tour includes behind the scenes access to the production of red wines, white wines, and beers. The tour guide is knowledgeable about Santa Barbara and Southern California and provides tips for dining and travel.","The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.",,45
4,The following sentences describe various aspects of a restaurant: The restaurant provides shawls to customers who are cold.,,,92
5,The following sentences describe various aspects of a restaurant: The restaurant is located in the same building as Philly Community Acupuncture.,,,86
6,The following sentences describe various aspects of a restaurant: The restaurant had a balloon sculpture and a face painter for their grand opening. The restaurant offered free lunch to each patron during their grand opening.,The restaurant had a balloon sculpture and a face painter for their grand opening.,,65
7,"The following sentences describe various aspects of a restaurant: The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders..","Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders",,4
8,The following sentences describe various aspects of a restaurant: The restaurant offers a spiritual experience with symbolism and custom associations provided. The restaurant is located inside the West Market.,The restaurant offers a spiritual experience with symbolism and custom associations provided.,,0
9,The following sentences describe various aspects of a restaurant: The restaurant has a painter who has his studio in the back and art on the walls. The restaurant has cute little children that hang out and their laughter sounds like little angels raining down from the heavens.,The restaurant has a painter who has his studio in the back and art on the walls.,,66
10,The following sentences describe various aspects of a restaurant: The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use. The restaurant offers coffee desserts and smoothies.,The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.,,50
11,The following sentences describe various aspects of a restaurant: The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.,The restaurant has a giant Jenga game.,,33
12,"The following sentences describe various aspects of a restaurant: The restaurant has a different crowd upstairs, more of a punk, Lady Gaga type crowd. The restaurant has porn playing through a projector upstairs.",The restaurant has porn playing through a projector upstairs.,,37
13,The following sentences describe various aspects of a restaurant: The restaurant has two dance floors. The restaurant has a photo booth. The restaurant has a great view of the Penns Landing fireworks.,The restaurant has two dance floors. The restaurant has a photo booth. The restaurant has a great view of the Penns Landing fireworks.,,88
14,The following sentences describe various aspects of a restaurant: The restaurant is part of a program to assist women who are exiting sex trafficking. The boutique sells clothing and accessories for ladies. The restaurant sells Sundaes ice cream.,The restaurant is part of a program to assist women who are exiting sex trafficking. The boutique sells clothing and accessories for ladies.,,72
15,"The following sentences describe various aspects of a restaurant: The restaurant is located in a converted double-decker bus with a Cadillac Eldorado engine. The restaurant has a shanty town of add-on roofs, rooms, and patios. The restaurant has an old-school cassette tape ghetto-blaster sitting on a chair. The restaurant has an old nine-inch T.V. with faded colour or a garish Christmas tree that lost its festive mojo back in the summer of 1989. The restaurant has a garden of sunflowers.",The restaurant has a garden of sunflowers.,,59
16,"The following sentences describe various aspects of a restaurant: The restaurant is located in Ybor City, which is a place that recreates a little Cuba in the Tampa area. The restaurant is surrounded by cigar shops and variety of restaurants that mainly focus on Cajun, American or Italian cuisine.",,,32
17,The following sentences describe various aspects of a restaurant: The restaurant has a piano room.,The restaurant has a piano room.,,60
18,The following sentences describe various aspects of a restaurant: The restaurant has a nightclub on Saturday nights. The nightclub has a VIP area with an elevated room and a small window to order drinks like a drive-thru. The VIP area is separated by a huge door and getting in is difficult if the bouncer isn't too fond of you.,The restaurant has a nightclub on Saturday nights.,,142
19,The following sentences describe various aspects of a restaurant: The restaurant has a little shop/deli that sells sweets and other items. The restaurant serves Polish food.,,,28
20,The following sentences describe various aspects of a restaurant: The restaurant has a video tutorial on how to eat or order.,The restaurant has a video tutorial on how to eat or order.,,113
21,The following sentences describe various aspects of a restaurant: The restaurant's pizza can be delivered through Uber Eats.,,,26
22,The following sentences describe various aspects of a restaurant: The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.,The restaurant is located near Goose Creek Park. The restaurant has a playground in the adjoining park.,,128
23,The following sentences describe various aspects of a restaurant: The restaurant allows group meetings on the 2nd floor for yoga and meditation groups. The restaurant is pet-friendly. The restaurant has long wooden coffee stirrers.,The restaurant allows group meetings on the 2nd floor for yoga and meditation groups. The restaurant is pet-friendly.,,71
