,precision_bnp,recall_bnp,f1_bnp,precision_exactM,recall_exactM,f1_exactM,precision_exactMPenalize,recall_exactMPenalize,f1_exactMPenalize,precision_exactAvgPenalize,recall_exactAvgPenalize,f1_exactAvgPenalize,precision_clusters,recall_clusters,f1_clusters,precision_clustersPenalize,recall_clustersPenalize,f1_clustersPenalize,preds,labels,precision,recall,f1
0,37.691,30.633999999999997,32.982,35.440000000000005,30.697000000000003,32.150999999999996,1.623,1.347,1.437,27.286,25.353,29.10777777777778,12.620000000000001,22.5,15.955000000000002,3.778,6.75,4.773000000000001,"model: flan-t5-large
learning_rate: 3e-05
num_train_epochs: 10.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",,,,
1,4.17,3.7,3.92,5.88,3.7,4.55,0.35,0.22,0.27,9.09,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,"['keva is a great place to go for a quick bite', 'a coffee shop with a great pizzaz', 'ponchos', 'a small menu but good food esp shrimp or fish po boy! service is very slow.', ""a good option if you're local"", 'a place to relax', 'a little Caribbean oasis in the middle of St. Louis city', 'burgers are delicious', 'burger and fries', 'Kid friendly, kid friendly, kid friendly, kid friendly, kid friendly, kid friendly, kid', 'What was the name of the place']","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']",,,
2,3.33,4.55,3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,"['footwear policy at Kayne (males only, the female in our group wearing open shoes was', 'the food didn’t', 'serrurier not offer to me a different room, one wasn’t offered to me and unfortunately', 'placuta, the hounds, and the rescue folks, Kudoes to', 'expoziții pizza, their weekly social, and the quality of the dessert items and the staff members', 'attentive and helpful, attentive and helpful, thoughtful and thoughtfully thoughtful and helpful, attentive and helpful', 'Județeane, cake, cake', 'brunch menu not overly large, but it was a great atmosphere for the situation,', 'to the modern world where social media has taken over. This place makes you feel like you', 'soluties, et le waitresses, all very friendly. Tons of', 'serruriery-thing will see increased traffic through their sad little dining room. The thin, crunchy']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'river walk', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']",,,
3,9.09,16.67,11.76,4.0,8.33,5.41,0.16,0.33,0.22,9.09,9.09,9.09,0.0,0.0,0.0,0.0,0.0,0.0,"['experience', 'a mini trampoline that was perfect for a energetic child', 'boutiques, clothing, and', 'lacking consistency, lacking consistency, lacking consistency, lacking consistency, lacking consistency, lacking consistency, lacking', 'exceptional service', 'placut fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit fericit', 'calendar calendar zodiac symbol zodiac symbol zodiac symbol zodiac symbol zodi', 'experience, nightclub, dancefloor, elevated room, open section, bouncers, bounce', 'tacos', 'burrito burrito burrito burrito burri', 'Parakeet paradise']","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']",,,
4,22.22,22.22,22.22,11.76,22.22,15.38,0.35,0.65,0.45,3.16,4.29,3.64,0.0,0.0,0.0,0.0,0.0,0.0,"['reviewers', 'familyFriendly, fun, balloon puppets, animals', 'pumpkin whoopie pie', 'disappointed with the seafood pan, shrimp, shrimp, shrimp, shrimp, shrimp, shrimp, shrimp', 'Reviewers consistently great reviews, sample menu, sample menu, sample menu, sample menu, sample', 'cats', 'Review received notification, received notification, received notification, received notification, received notification, received notification,', 'experience, photo booth, Penns Landing fireworks', 'wings', 'peanut butter', 'complimentary chips, complimentary dessert churros']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']",,,
5,16.67,7.41,10.26,18.18,7.41,10.53,1.65,0.67,0.96,18.18,18.18,18.18,0.0,0.0,0.0,0.0,0.0,0.0,"['None', 'None', 'None', 'None', 'Liberty Bell shot glass', 'None', 'None', 'None', 'None', 'None', 'None']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']",,,
6,30.0,21.43,25.0,22.73,17.86,20.0,1.03,0.81,0.91,23.74,16.06,19.16,0.0,0.0,0.0,0.0,0.0,0.0,"['None', 'None', 'None', 'parker rolls, sweet corn, lemon tart', 'line, great reviews', 'virtual golf, zombie dodgeball', 'carry out', 'pokestops', 'cocktails, over priced, hipster white washed version', 'Indian spice, artwork, fabrics, Bollywood movies projected on the brick', ""local wildlife, the farmer's market, the farmer's market""]","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']",,,
7,86.36,46.34,60.32,72.0,43.9,54.55,2.88,1.76,2.18,45.71,44.04,44.86,42.86,75.0,54.55,10.0,17.5,12.73,"['free comic', 'None', 'special event, Circus, anaconda, guy breathe fire, glass', 'None', 'None', 'Live music, lounge area, fishies', 'store, beautiful pots, candles, terrariums', 'None', 'None', 'tour of the estate, red wine collection, cellar room, house where Ella Brennan still', 'yoga, henna artist, tattoos']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']",,,
8,66.67,45.45,54.05,55.56,45.45,50.0,3.09,2.53,2.78,50.51,42.93,46.41,16.67,50.0,25.0,5.56,16.67,8.33,"['None', 'therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats', 'personalized mug, name, plaque', 'Oktoberfest', 'gift shop', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos, collectibles', 'None', 'None']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']",,,
9,59.09,61.9,60.47,71.43,71.43,71.43,3.4,3.4,3.4,63.95,59.7,61.75,0.0,0.0,0.0,0.0,0.0,0.0,"['books, Basics of Mechanical Engineering, A Guide on Planetary Leadership', 'awesome skateboard deck', 'wall of polaroids, cash only policy', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz', 'outreach program, meal sponsorship program, outreach program, meal sponsorship program', 'None']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']",,,
