,precision,recall,f1,preds,labels
0,43.959999999999994,35.438,38.106,"model: t5-small
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 2
gradient_accumulation_steps: 8",
1,0.0,0.0,0.0,"['Keva - ich schätze Keva!', 'The coffee shop is a winner for me.There are several spacious seating areas spread throughout the', 'I had a tour I needed to get to and I swear he got me a', 'We were not greeted for quiet some time. Finally they cleaned a table so we', 'I visited gluten free bakeries and cafes when in different cities, and stopped by New Deal', 'yogis and yogis are a treat. a bit of self care and', 'The concept is great - a little Caribbean oasis in the middle of St. Louis city', 'I am addicted to the French Onion Sauce and the plastic cheese sauce drenching', 'Be warned though that the debris does not distinguish on who gets pelted in the chest ', 'I love the concept of this place. They have healthy good food, great craft selection, tea', 'ok, ok, ok, ok, ok, ok, ']","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,0.0,0.0,0.0,"['', '', '', '', '', '', '', '', '', '', '']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'river walk', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,0.0,0.0,0.0,"['', '', '', '', '', '', '', '', '', '', '']","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,0.0,0.0,0.0,"['', '', '', '', '', '', '', '', '', '', '']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,50.0,53.85,51.85,"['', 'a paper studio, journals, gift tags, local charity', '', 'a half-empty glass', 'watercolors of the Philly area, done by a local artist, on the walls', '', '', 'audiobook', '', '', 'Friends of ours recommend this new restaurant, Charcoal Pit, 202']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,46.15,44.44,45.28,"['thai iced tea game', 'Gardener, bags of coffee grounds, compost', 'boaters, dock', 'The Farm & Fisherman', 'long line, to go coffee, server, sign', 'virtual golf, games, zombie dodgeball, channelside', 'bahn mi sandwiches', 'pokestops, cemetery', '', 'artist, fortune teller, henna tattoo artist, fortune teller', ""satellite, farmer's market""]","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,129.41,53.66,75.86,"['free comic', 'DDD on Food Network', 'None', 'None', 'None', 'Live music, lounge area, fishies', 'plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'music venue, music venue, music venue', 'tour, estate, red wine collection, cellar room, extensive collection, wine bottles', 'yoga, henna artist']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,61.9,59.09,60.47,"['None', 'None', 'None', 'None', 'tour de bier, history lesson, history lesson, culturally amazing German experience', 'gift shop, cute wallet, shawl, necklace', 'view from front patio, beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,70.0,66.67,68.29,"['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'None', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz', 'outreach program, meal sponsorship program', 'None']","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
