,chatgpt_output,gold,added,abs_true_strong,__index_level_0__
0,The following sentences describe various aspects of a restaurant: Each karaoke room has its own bathroom. The restaurant has a karaoke venue with private rooms. The restaurant has a language barrier problem with staff. The restaurant has a dead microphone that was not replaced.,The restaurant has a karaoke venue with private rooms.,,The restaurant is also a karaoke venue.,3
1,The following sentences describe various aspects of a restaurant: The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.,The sushi chef once did a puppet show for customers sitting at the counter.,,The sushi chef once did a puppet show for customers who sat at the counter.,58
2,The following sentences describe various aspects of a restaurant: The restaurant has the car from the movie Good Burger. The restaurant is made out of colorful shipping containers. The restaurant has an alien spaceship from Toy Story with a laser on it adorned the top of the place along with a cow. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger.,The restaurant has the car from the movie Good Burger. The restaurant sells souvenir T-shirts and hats heavily influenced by the movie Good Burger.,,"The restaurant has the car from the movie Good Burger.
They sell souvenir T-shirts & hats, & a customer got a ""HI AF"" shirt. The shirts are heavily influenced by the movie Good Burger.",47
3,The following sentences describe various aspects of a restaurant: The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.,The restaurant has a giant Jenga game.,,The restaurant has a giant jenga.,97
4,The following sentences describe various aspects of a restaurant: The restaurant has two dance floors. The restaurant has a photo booth. The restaurant has a great view of the Penns Landing fireworks.,The restaurant has two dance floors. The restaurant has a photo booth. The restaurant has a great view of the Penns Landing fireworks.,,"For New Year the restaurant had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.",34
5,The following sentences describe various aspects of a restaurant: The restaurant has a small attached nursery where customers can buy starter plants and bigger plants. The restaurant sells unique gifts.,The restaurant has a small attached nursery where customers can buy starter plants and bigger plants. The restaurant sells unique gifts.,,"The restaurant has a small attached nursery.
Customers can find unique gifts.",107
6,The following sentences describe various aspects of a restaurant: The restaurant's pizza can be delivered through Uber Eats.,,,,90
7,"The following sentences describe various aspects of a restaurant: The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders..","Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders",,"The restaurant is placed on the water.
Boaters can come right up to dock.
Customers can bring their pets.",4
8,The following sentences describe various aspects of a restaurant: The restaurant offers a spiritual experience with symbolism and custom associations provided. The restaurant is located inside the West Market.,The restaurant offers a spiritual experience with symbolism and custom associations provided.,,"The restaurant has a lounge area behind the bar.
There are symbolism and custom associations provided.",0
9,The following sentences describe various aspects of a restaurant: The restaurant has a bowling alley with vintage equipment.,The restaurant has a bowling alley with vintage equipment.,,The restaurant has a bowling alley.,57
10,The following sentences describe various aspects of a restaurant: The restaurant has a nightclub on Saturday nights. The nightclub has a VIP area with an elevated room and a small window to order drinks like a drive-thru. The VIP area is separated by a huge door and getting in is difficult if the bouncer isn't too fond of you.,The restaurant has a nightclub on Saturday nights.,,The restaurant has a nightclub on Saturday nights.,88
11,The following sentences describe various aspects of a restaurant: The restaurant has a glass room for events such as weddings. The restaurant has cabanas that can be rented for events. The restaurant hosts drag shows on certain nights of the week.,The restaurant hosts drag shows on certain nights of the week.,,The restaurant has waterfront views of Tampa. They started having drag shows on certain nights of the week.,103
12,The following sentences describe various aspects of a restaurant: The restaurant hosted a DJ who played a mix of Bossa Nova and House Music.,The restaurant hosted a DJ who played a mix of Bossa Nova and House Music.,,"One night the restaurant was hosting DJ extraordinaire Cliff, who played a mix of Bossa Nova and House Music.",111
13,The following sentences describe various aspects of a restaurant: The restaurant has a view of gators in a pond/bayou partition. The restaurant is located near an airboat ride.,The restaurant has a view of gators in a pond/bayou partition. The restaurant is located near an airboat ride.,,"The restaurant offers a great view of gators in a pond/bayou partition.
Customers can catch an airboat ride down the road.",28
