chatgpt_output,gold,added,fold
The following sentences describe various aspects of a restaurant: Each karaoke room has its own bathroom. The restaurant has a karaoke venue with private rooms. The restaurant has a language barrier problem with staff. The restaurant has a dead microphone that was not replaced.,The restaurant has a karaoke venue with private rooms.,,1
The following sentences describe various aspects of a restaurant: The restaurant has a playroom for kids.,The restaurant has a nice playroom for the kids.,,1
The following sentences describe various aspects of a restaurant: The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.,The sushi chef once did a puppet show for customers sitting at the counter.,,1
"The following sentences describe various aspects of a restaurant: The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing. The tour includes behind the scenes access to the production of red wines, white wines, and beers. The tour guide is knowledgeable about Santa Barbara and Southern California and provides tips for dining and travel.","The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.",,1
The following sentences describe various aspects of a restaurant: The restaurant provides shawls to customers who are cold.,,,1
The following sentences describe various aspects of a restaurant: The restaurant is located in the same building as Philly Community Acupuncture.,,,1
The following sentences describe various aspects of a restaurant: The restaurant had a balloon sculpture and a face painter for their grand opening. The restaurant offered free lunch to each patron during their grand opening.,The restaurant had a balloon sculpture and a face painter for their grand opening.,,1
"The following sentences describe various aspects of a restaurant: The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders..","Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders",,1
"The following sentences describe various aspects of a restaurant: The restaurant is placed on the water. The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.","The restaurant is placed on the water. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.",yes,1
The following sentences describe various aspects of a restaurant: The restaurant offers a spiritual experience with symbolism and custom associations provided. The restaurant is located inside the West Market.,The restaurant offers a spiritual experience with symbolism and custom associations provided.,,1
The following sentences describe various aspects of a restaurant: The restaurant has a lounge area behind the bar. The restaurant offers a spiritual experience with symbolism and custom associations provided. The restaurant is located inside the West Market.,The restaurant has a lounge area behind the bar. The restaurant offers a spiritual experience with symbolism and custom associations provided.,yes,1
The following sentences describe various aspects of a restaurant: The restaurant has a painter who has his studio in the back and art on the walls. The restaurant has cute little children that hang out and their laughter sounds like little angels raining down from the heavens.,The restaurant has a painter who has his studio in the back and art on the walls.,,1
The following sentences describe various aspects of a restaurant: The restaurant has a painter who has his studio in the back and art on the walls. The restaurant has cute little children that hang out and their laughter sounds like little angels raining down from the heavens. The restaurant has free wireless.,The restaurant has a painter who has his studio in the back and art on the walls. The restaurant has free wireless.,yes,1
The following sentences describe various aspects of a restaurant: The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use. The restaurant offers coffee desserts and smoothies.,The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.,,1
The following sentences describe various aspects of a restaurant: The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.,The restaurant has a giant Jenga game.,,1
"The following sentences describe various aspects of a restaurant: The restaurant has a different crowd upstairs, more of a punk, Lady Gaga type crowd. The restaurant has porn playing through a projector upstairs.",The restaurant has porn playing through a projector upstairs.,,2
"The following sentences describe various aspects of a restaurant: The restaurant has a different crowd upstairs, more of a punk, Lady Gaga type crowd. The restaurant has porn playing through a projector upstairs. The restaurant had a band playing music.",The restaurant has porn playing through a projector upstairs. The restaurant had a band playing music.,yes,2
The following sentences describe various aspects of a restaurant: The restaurant has two dance floors. The restaurant has a photo booth. The restaurant has a great view of the Penns Landing fireworks.,The restaurant has two dance floors. The restaurant has a photo booth. The restaurant has a great view of the Penns Landing fireworks.,,2
