,precision,recall,f1,preds,labels
0,4.3,3.8910000000000005,3.992,"model: flan-t5-xl
learning_rate: 3e-05
num_train_epochs: 1.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 8",
1,0,0,0,"['I have been to Keva a few times and have always been pleased with the food and', ""I've been to Carmel Cafe a few times now and have always enjoyed it."", 'I was in Montreal for a conference and was looking for a place to eat.', ""I've been to this place a few times and it's always good. The"", ""I've been to New Deal a few times and have always been pleased with the food"", 'The best place to get a drink in the city.', ""I've been to this place a few times and it's always a good"", ""I've been to this place a few times and have always had a great experience"", ""I've been to this place a few times and it's always been good."", ""I've been to this place a few times and it's always been good."", ""I've been to this place a few times and it's always good. The""]","['None', 'Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'ponchos', 'dock area, paddle cruise', 'None', 'lounge area, symbolism, custom associations', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'None', 'trivia night, fireworks', 'section, professional babysitting service, different size diapers', 'water, manatee']"
2,0,0,0,"['Kayne is a great place to go for a nice dinner. The food is great', 'The food was good, but the service was terrible.', ""I've been to a few karaoke bars in the past, and"", 'Trident Grill III is a sports bar that serves the Impossible Burger.', ""I've been to Zeppelin a few times now and have always enjoyed it"", 'The food was good, but the service was a bit slow.', 'The food was good, but the service was a bit slow.', 'Gypsy Saloon is a great place to go for a drink and a', ""I've been to this place a few times and it's always a great"", 'The best view in Vegas.', 'Circle City Pizza is a chain restaurant that serves thin crust pizzas.']","['None', 'best sounding band, female vocalist', 'karaoke venue', 'Arizona Greyhound Rescue event, hounds', 'None', 'river walk', 'None', 'None', 'Wifi, Live bands, book exchange area, community scarf/blanket project', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None']"
3,0,0,0,"[""I've been to this place a few times and it's always good. The"", 'The staff was very friendly and helpful. The food was delicious and healthy.', 'Located in the heart of the trendy Fremont Street, this tea house and coffee shop is', 'The best sushi in town.', 'The best burgers in town!', 'Great food, great service, great atmosphere.', ""Wasabi2 is a sushi spot in a shopping center!! Something you don't"", 'The food was good, but the service was horrible.', 'Located in the heart of the Fashion Square Mall, this restaurant is a great place to', 'Taco Lindo is a Mexican restaurant that serves breakfast, lunch, and dinner.', ""I've been to this place a few times and it's always good. The""]","['None', 'mini trampoline', 'on site medium, Their apothecary area', 'None', 'None', 'None', 'free calendar', 'their nightclub', 'None', 'None', 'parakeet paradise']"
4,0,0,0,"['Located in the heart of the Fashion Square Mall, this upscale sushi bar is a', 'Located in the heart of the Fashion Show Mall, this upscale, yet casual eatery', 'Located in the heart of Philadelphia, this coffee shop is a great place to grab ', 'Boil Seafood House on Magazine St. has cut back and under new management', 'This is a great place to eat if you are looking for authentic Taiwanes', 'Cat Cafe, Cat Cafes, Cat Cafes in Las Vegas - Amazeball', 'Located in the heart of the Fashion Show Mall, this upscale brewpub offers', 'Hibachi Japanese Steak House is a Japanese steakhouse in Philadelphia, Pennsylvania.', 'The best baba ganoush in town', 'The best ice cream in the city', 'Besito is a great place to go for a great meal.']","['None', 'balloon puppets, animals', 'Philly Community Acupuncture', 'None', 'None', 'entrance fee, adoption, Stray Cat Alliance', 'board games, trivia Pursuit, small concerts', 'dance floors, photo booth, Penns Landing fireworks', 'video', 'None', 'None']"
5,0,0,0,"['Sol Luna is the ideal place to go and chill back. They have a huge verity', 'Magdalene Cafe is a coffee shop that serves sandwiches and salads.', 'deli, sandwiches, macaroni bites, homemade chocolate ice cream, homemade brownie', 'Jones is a great place to grab a bite to eat, but the food is', 'Visit the Philadelphia Museum of Art, the Philadelphia Zoo, or the Philadelphia Zoo Safari Park.', 'Great place to get something to eat after canoeing or kayaking for the day', 'Located in the heart of the Fashion Square shopping district, this trendy eatery offers a', 'Macaroni Grill is a chain restaurant that serves Italian food.', 'Located in the heart of the Fashion Show Mall, this restaurant is a great place to', 'Located in the Bristol Mall, this sushi bar is a great place to grab a', 'The best Italian on 202. Hands down the best Italian on 202. I will']","['events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Nice playroom', 'None', 'candy machine, watercolors, local artist, paintings', 'canoeing, kayaking, sunny fish', 'Derek St. Holmes, blues', 'audiobook', 'None', 'polaroid', 'guidebook']"
6,8.82,10.71,9.68,"['Thai, Laotian cuisine', 'Located in the heart of Philadelphia, this coffee shop is a great place to grab ', 'stuffed flounder', 'Farm and Fisherman is a great place to eat, with great food and great service', 'This place is a great place to go for a quick bite and a drink.', 'Virtual golf, drinks, poutine', 'Bahn Mi Sandwiches', 'Pokestops', 'Located in Chinatown, this ramen joint is a bit pricey, but', ""Nashville New Year's Eve dinner: prix fixe meal with optional wine pairings"", 'Satellite is a classic West Philly spot where you can see local wildlife. Everyone from mom']","['None', 'free wifi, gardener, coffee grounds, compost', 'water, boaters, dock, your pets', 'None', 'None', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'None', 'pokestops, cemetery', 'None', 'Bollywood movies, henna tattoo artist, fortune teller', 'local wildlife, anarchists, hackers, organic gardeners, activists']"
7,3.7,2.44,2.94,"['Pizza joints', 'This place is a little pricey, but the food is good.', 'Atomic Cowboy is a great place to go for a drink and some good food', 'drive-thru', 'This is a great place to grab a quick bite and a drink.', 'upscale, yet comfortable, this restaurant is a great place to bring the family', 'Great place for breakfast, lunch, or dinner.', 'Urban Shabu', 'The food was good, but the service was a little slow.', ""Commander's Palace is a New Orleans landmark and one of the city's most "", 'Cider and yoga were happening the day I was there and I was sad to be visiting from']","['free comic', 'DDD, Food Network', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'None', 'None', 'Live music, lounge area, fishies, tank', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums', 'None', 'free wifi, ping pong, shuffleboard, music venue', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'yoga, henna artist']"
8,6.67,9.09,7.69,"['breakfast, brunch, lunch, dinner', 'Sketch is a great therapeutic sketching on every table, and if good your sketch is', 'Drive-in, not drive-in, parking, indoor seating, cold, overcooked,', ""Kelly's is your typical neighborhood gastropub that's college friendly. It has a"", 'German beer, German food, German atmosphere', 'Classy and stately, this is the place to go for lunch, this was my first', 'View, Garden, Hummingbirds, Songbirds', 'Half Moon is a great place to grab a drink and some appetizers.', 'This place is a must see', 'Baguette Deli is located in the same plaza as Fred Meyer, specifically next door', 'This place is a dive bar with a burger joint inside.']","['None', 'great therapeutic sketching', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'amazing tour de bier, history lesson', 'garden, art, gift shop, cute wallet, shawl, necklace', 'beautiful garden, hummingbirds, songbirds', 'stand-up comic', 'Indy 500 photos and collectibles, mini museum', 'None', 'None']"
9,0,0,0,"['Bean Gallery is a coffee shop that serves sandwiches and coffee.', 'This coffee shop is known for their signature iced coffee drinks.', 'Fat Straw is a trendy, high-end bubble tea cafe in Edgehill Village.', 'Close proximity to the strip', 'Planet Hollywood', 'rated 1 out of 5', 'rated 4.5 of 5 based on 3 reviews', 'All you can eat crab cakes', ""Upper Deck is a great place to bring your friends and some quarters, you won'"", 'Turkey necks', ""Bobby Flay's Baton Rouge""]","['used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'his own skating company, awesome skateboard deck', 'None', 'None', 'bookstore/gift shop', 'None', 'None', 'gators, airboat ride', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'outreach program, meal sponsorship program', 'None']"
