,bleu,preds,labels
0,0.4115919663979123,"model: flan-t5-xl
learning_rate: 9e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,0.11082138638875108,"['The food was good, the service was good, the karaoke was good, the karaoke room was good, the bathrooms were good, the karaoke room was good, the karaoke room was good, the bathrooms were good, the karaoke room was good, the bathrooms were good, the karaoke room was good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms were good, the bathrooms', 'The restaurant has a playroom for kids.', 'The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing. The tour includes behind the scenes access to the production of red wines, white wines, and beers. The tour guide is knowledgeable about Santa Barbara and Southern California and provides tips for dining and travel.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant offered free lunch to each patron during their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided. The restaurant is located inside the West Market.', 'The food is good, the service is good, the atmosphere is good, the prices are good, and the kids are cute.', 'The Paint Your Own Ceramics is a restaurant that offers paint your own ceramics. Customers can use paint supplies and tools to create their own ceramics. The restaurant offers coffee desserts and smoothies.', 'The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
2,0.4630242970347429,"['The restaurant has a language barrier problem with staff. The restaurant has a dead microphone that was not replaced.', 'The restaurant has a playroom for kids. The restaurant has a playroom for kids.', 'The restaurant gives Hershey kisses with the bill. The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant offered free lunch to each patron during their grand opening. The restaurant had a balloon sculpture and a face painter for their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided. The restaurant is located inside the West Market.', 'The restaurant has a painter who has his studio in the back and art on the walls. The restaurant has cute little children that hang out and their laughter sounds like little angels raining down from the heavens.', 'The restaurant is a paint your own ceramic shop. The restaurant offers coffee desserts and smoothies.', 'The restaurant plays loud top 40 music from a jukebox. The restaurant plays giant Jenga game.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
3,0.016037099973871666,"['RChicagosrestauranthasakaraokevenuewithprivateroomstherestauranthasalanguagebarrierproblemwithstafftherestauranthasadeamicrophonethatwasnotreplaced', 'instanţ restaurant has a playroom for kids', 'Kreativität Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung Reinigung', 'access to the production of red wines, white wines, and beers.', 'instanţ wants to make its customers feel special.', 'instanţ is a restaurant that is located in the same building as Philly Community Acupuncture.', 'Restaurant.com Grand Opening', 'instanţ instanţ instanţibilité instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţniveaux instanţ instanţ instanţ instanţniveaux instanţniveaux instanţniveaux instanţniveaux instanţniveaux instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ instanţ getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet getestet', 'instanţ instanţ instanţ literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally literally', 'RA is a restaurant that has a painter who has his studio in the back and art on the walls.', 'timpului is a restaurant that is a paint your own ceramic shop the restaurant offers coffee desserts and smoothies the restaurant offers coffee desserts and smoothies', ""instanţ specialty instanţ's specialty restaurant has a giant jenga game the restaurant plays loud top 40 music from a jukebox.""]","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
4,0.0,"['', '', '', '', '', '', '', '', '', '', '', '']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
5,0.6797461924068104,"['The restaurant has a karaoke venue with private rooms.', 'The restaurant has a playroom for kids.', 'The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant offers coffee desserts and smoothies.', 'The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
6,0.6690173521160859,"['The restaurant has a karaoke venue with private rooms.', 'The restaurant has a playroom for kids.', 'The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening. The restaurant offered free lunch to each patron during their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.', 'The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
7,0.7515384495169534,"['The restaurant has a karaoke venue with private rooms.', 'The restaurant has a playroom for kids.', 'The sushi chef once did a puppet show for customers sitting at the counter.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.', 'The restaurant has a giant Jenga game.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
8,0.6060316054166052,"['The restaurant has a karaoke venue with private rooms. The restaurant has a language barrier problem with staff.', 'The restaurant has a playroom for kids.', 'The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening. The restaurant offered free lunch to each patron during their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.', 'The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
9,0.5559927443923289,"['The restaurant has a karaoke venue with private rooms. The restaurant has a language barrier problem with staff.', 'The restaurant has a playroom for kids.', 'The sushi chef once did a puppet show for customers sitting at the counter. The restaurant gives Hershey kisses with the bill.', 'The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery. The tour includes a sophisticated journey through the process of winemaking and beer brewing. The tour includes behind the scenes access to the production of red wines, white wines, and beers.', 'The restaurant provides shawls to customers who are cold.', 'The restaurant is located in the same building as Philly Community Acupuncture.', 'The restaurant had a balloon sculpture and a face painter for their grand opening. The restaurant offered free lunch to each patron during their grand opening.', 'The restaurant is mostly outdoors. Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders.', 'The restaurant offers a spiritual experience with symbolism and custom associations provided.', 'The restaurant has a painter who has his studio in the back and art on the walls.', 'The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.', 'The restaurant has a giant Jenga game. The restaurant plays loud top 40 music from a jukebox.']","[['The restaurant has a karaoke venue with private rooms.'], ['The restaurant has a nice playroom for the kids.'], ['The sushi chef once did a puppet show for customers sitting at the counter.'], ['The restaurant offers a ""Grapes and Hops"" tour that includes visits to wineries and a brewery.'], [''], [''], ['The restaurant had a balloon sculpture and a face painter for their grand opening.'], ['Boaters can come right up to dock at the restaurant. Customers can bring their pets to the restaurant, including parakeets on their shoulders'], ['The restaurant offers a spiritual experience with symbolism and custom associations provided.'], ['The restaurant has a painter who has his studio in the back and art on the walls.'], ['The restaurant is a paint your own ceramic shop. The restaurant provides paint supplies and tools for customers to use.'], ['The restaurant has a giant Jenga game.']]"
