,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_avg_p,bertscore_avg_r,bertscore_avg_f1,preds,labels,train_nc_list
0,0.45,0.65,0.4,0.65,0.65,"macro avg: 0.94 
 micro avg: 0.94","macro avg: 0.93 
 micro avg: 0.93","macro avg: 0.94 
 micro avg: 0.94","model: flan-t5-large
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",,
1,0.18,0.12,0.06,0.12,0.11,0.86,0.87,0.86,"['celebrate their nightclub on Saturday nights is amazing!', 'celebrate their vegan pumpkin whoopie pie with a splash of any of the nutty', 'celebrates the traits of their cosmic sign.', 'celebrate with a drink from the lounge area behind.', 'loves', 'celebrate simplicity with tasty foods.', 'celebrate their love with a location in Seoul, South Korea.', '• a sauce station is extensive and it’s DIY. The sauce station is extensive and', 'love the female vocalist on 9/8/17', 'celebrates diversity in its kid friendly restaurant.', 'celebrate happy hour tapas meals']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]",
2,0.13,0.11,0.03,0.11,0.11,0.85,0.86,0.85,"['Promoted by brand, they have a Circus theme.', 'celebrate the holidays at hand.', 'celebrate happy hour special is unbeatable, they have a good selection of draft beers', 'refreshed a table so they could settle down. Finally they cleaned a table so they could', 'Promoted by a language barrier problem', 'elevate the experience at a hotel restaurant. The view of the river walk was also a', 'refreshed refreshed', 'passionately craft their burgers.', 'celebrate diversity with boba alongside danishes, egg sandwiches, croissants,', 'elevate the standard of comfort food with the teas and smoothies they make.', 'innovate fast casual dining experience']","[['One night they had a special event where customers got to pet a baby alligator, hold an anaconda and see a guy breathe fire and walk on glass. They had live music.'], ['On the weekends kids can experience ""Mark the Balloon Guy"". They have stuffed animal/puppets for sale at the front.'], ['They offer life size beer pong at their outside patio. They have a pool table. They recently added arcade games, such as nfl blitz 99 and madden 15.'], ['They are close to a dock area where customers can board paddle cruises.'], ['They are a karaoke venue.'], ['They offer a view of a river walk.'], ['None'], ['None'], ['They sells lottery tickets/ scratchers.'], ['They offer events such as a hypnosis show, drag show, karaoke night, or QuizO. They offer entertainment.'], ['None']]",
3,0.32,0.23,0.21,0.23,0.23,0.86,0.87,0.86,"['They have table and floor games inside - Jenga and big Connect 4. There is', 'Offering a nice vibe. They have a nice vibe. They have a nice vibe', 'Gypsy Saloon has a great atmosphere for the situation. Customers can go to Stell', 'Promoted by Boil Seafood House on Magazine St.', 'Ruth Chris experience should go there. Public wanting a Ruth Chris experience should go there.', 'They offer $5 flat gets you a LARGE quantity of delicious food AND a drink', 'Offerings include miso soup.', 'The Chauhans brought in a henna tattoo artist and a fortune', 'They have virtual golf. Customers can switch it to games like zombie dodgeball.', 'This place is right next to the Charcoal Pit on 202. Customers can check things', 'They have the car from the movie Good Burger.']","[['They have table and floor games inside - Jenga and big Connect 4. There is a room for beach volleyball or badminton.'], ['None'], ['None'], ['None'], ['None'], ['None'], ['None'], ['They project Bollywood movies. For the NYE holiday they brought in a henna tattoo artist and a fortune teller.'], ['Customers can play virtual golf. Customers can play games like zombie dodgeball.'], ['Each table has a guidebook of Italy tourist spots.'], ['They have the car from the movie Good Burger. They sell souvenir T-shirts & hats, & a customer got a ""HI AF"" shirt. The shirts are heavily influenced by the movie Good Burger.']]",
4,0.36,0.48,0.2,0.48,0.48,0.91,0.91,0.91,"['The cats are available for adoption through the Stray Cat Alliance.', 'They sell ponchos.', 'They are a MidTown/Downtown girl, so Zeppelin is', ""They have a children's menu. They offer a children's menu."", 'They are a bubble tea cafe. They have a wall of polaroids of customers', 'None', 'There is an outside dining area overlooking a golf course.', 'None', 'None', 'None', 'They offer $1.50 tacos on TACO TUESDAY.']","[['The place is more of an indoor cat petting zoo than a cat cafe. Customers pay for the entrance fee to support the cats. The cats are available for adoption through the Stray Cat Alliance.'], ['They sell ponchos.'], ['None'], ['None'], ['None'], ['None'], ['They have an outside dining area overlooking a golf course.'], ['They have a mini trampoline.'], ['None'], ['None'], ['None']]",
5,0.51,0.87,0.38,0.86,0.86,0.98,0.97,0.98,"['They have free wifi. Customers can go upstairs to play ping pong or shuffle', 'They have trivia nights. They have a perfect vantage point of the 4th of July', 'They have an outside deck with a view of the parklands. Customers can go for', 'None', 'None', 'They have therapeutic sketching at every table.', 'None', 'They are nice to sit along the water and see manatees.', 'None', 'They have a paper studio where the women of the program are making journals and gift tags,', 'None']","[['They have free wifi. Customers can go upstairs to play ping pong or shuffleboard. They have a music venue with balcony seating.'], ['They have trivia nights. They offer a perfect vantage point of the 4th of July fireworks.'], [""They have an outside deck with a view of the parklands. Customers can go for a walk in the Goose Creek Park behind the restaurant. There's a playground in the adjoining park.""], ['None'], ['None'], ['They have therapeutic sketching at every table.'], ['None'], ['Customers can sit along the water where they can see manatees.'], ['None'], ['A paper studio where the women of the program are making journals and gift tags, etc. is right there. They sell their candles, lip balms, etc. Customers can support a local charity.'], ['None']]",
6,0.47,0.89,0.34,0.89,0.9,0.99,0.97,0.98,"['Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent)', 'None', 'None', ""If you're there for a special occasion, they'll take a pol"", 'They offer a great spot around dusk because the peacocks come out of', 'None', 'None', 'They are a place on the water. Boaters can come right up to dock. Customers', 'None', 'None', 'They offer canoeing and kayaking. Customers can feed the sunny fish off the deck']","[['One day Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent) played some nasty blues there.'], ['None'], ['None'], [""If you're there for a special occasion, they'll take a polaroid and add it to their wall.""], [""They offer a great spot around dusk because the peacocks come out of the park woods & will walk right up to the outdoor area. Customers can catch the sunset- there's a long public dock w benches to comfortably sit on & watch the blaze of glory.""], ['None'], ['None'], ['They are a place on the water. Boaters can come right up to dock. Customers can bring their pets.'], ['None'], ['None'], ['They offer canoeing and kayaking. Customers can feed the sunny fish off the deck.']]",
7,0.52,0.87,0.41,0.87,0.88,0.98,0.96,0.97,"['None', 'Cider and yoga was happening the day a customer was there. There was a', 'None', 'They feature an array of used books that range from ""Basics of Mechanical Engineering"" to', 'None', 'They offer a great view of gators in a pond/bayou partition', 'None', 'None', 'Customers can bet 4 ways; scratch off lottery machine, keno, computer n', 'They have a rooster, a goat, several pigs and', 'They gave a kid a free comic.']","[['None'], ['Cider and yoga was happening the day a customer was there. There was a henna artist doing tattoos one night.'], ['None'], ['They feature an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership."" They have so-so internet.'], ['None'], ['They offer a great view of gators in a pond/bayou partition. Customers can catch an airboat ride down the road.'], ['None'], ['None'], ['Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.'], [""Customers are encouraged to visit their 'petting zoo' in the back. They have a rooster, a goat, several pigs and the cutest little piglet.""], ['They gave a kid a free comic.']]",
8,0.62,0.91,0.54,0.91,0.91,0.99,0.97,0.98,"['They are a casino. Customers can see a concert at the AVA amphitheater', 'Live bands play there. They have free Wifi. They have a book exchange area', 'The view from inside the restaurant, facing west, has a beautiful garden with humming', 'None', 'They have live music and lounge area with sofas. Kids can snorkel in the fish tank.', ""There are a ton of pokestops around since it's right across from the"", 'None', 'None', 'None', 'For New Years they had two dance floors, a photo booth, and a great view', 'They have a nice playroom for the kids.']","[['They are a casino. Customers can see a concert at the AVA amphitheater.'], ['Live bands play there. They have free Wifi. They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.'], ['The view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike.'], ['None'], ['They have live music and lounge area with sofas. Kids can snorkel in the fish tank.'], [""There are a ton of pokestops around since it's right across from the cemetery. It is a pokestop by itself.""], ['None'], ['None'], ['None'], ['For New Years they had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.'], ['They have a nice playroom for the kids.']]",
9,0.45,0.88,0.5,0.88,0.88,0.98,0.96,0.97,"['One day sunbathers were laying out on the sand in front of the', 'None', 'None', 'The sushi chef once did a puppet show for customers who sat at the counter.', 'Behind the restaurant is a huge area of plants for sale and a cute indoor store with', 'They have an audiobook teaching Italian in the bathroom.', 'None', 'They have board games to play. They have trivia Pursuit. They have a stage are', 'None', 'There were watercolors of the Philly area, done by a local artist, on the', 'They have an on site medium to contact your ancestors and read your cards to awake']","[['One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore. Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day. There is fresh air and dolphin spotting. They have an open air beach view.'], ['None'], ['None'], ['The sushi chef once did a puppet show for customers who sat at the counter.'], ['Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.'], ['They have an audiobook teaching Italian in the bathroom.'], ['None'], ['They have board games to play. They have trivia Pursuit. They have a stage are for small concerts.'], ['None'], ['There were watercolors of the Philly area, done by a local artist, on the walls. The paintings were for sale.'], ['They have an on site medium to contact your ancestors and read your cards to awaken your spirituality. They have an apothecary area where they assemble their medicinal teas and perform their spiritual readings.']]",
