,bleu,preds,labels,train_nc_list
0,0.021436860797790877,"model: flan-t5-xl
learning_rate: 5e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",,
1,0.011128562679135734,"['', '', '', '', 'The salon is organizing an upcoming Sunday for bikers only.', '', 'The salon has complimentary tea, coffee, wine, snacks, and wifi.', '', '']","[[''], [''], [''], ['A kid sat in the firetruck and got his hair cut. It had a working pedal, sirens and he even had the choice to watch whatever on his own tv at the station. They turns a bubble machine on and give a lollipop to the kids if they get upset. Kids also have the option to pick out a balloon on the way out.'], ['They\'hv been at a couple of events, including Wednesday night ""Bike Nights"". They organized a Sunday for bikers only.'], [''], ['The salon has a manicurist/pedicurist.'], [''], ['']]","['two vehicles', 'toys', ""children's songs"", 'television cartoons', 'balloon', 'lollipop', 'adorable ""first haircut"" certificate', 'locks of love', 'live jazz', '', 'their signature soap store', 'yoga studio', 'handcrafted jewelry', 'handbags', 'jewelry', 'eyelash extensions', 'make-up', 'manicures', 'spray tanning', 'small yoga class', 'vintage dresses', 'new designer t shirts', 'one of a kind jewelry pieces', 'handmade hats', 'scarfs', 'photography studio', '', '', '', '', 'blanket drive', 'local community', 'massage', 'photoshoot', 'beautiful affordable jewelry', 'shop', 'mani pedis', 'waxing room', '', 'dirt bike', 'toys', '', '', 'movies/tv', 'toys', 'floor-to-ceiling chalk board', 'glitter', 'balloon', 'videos', 'tutorials', 'go live', 'eyebrow waxes', '', '', 'adorable potted plants', 'succulents', 'unique jewelry', 'clothes', 'items', 'local artists', ""st. baldrick's cancer foundation"", 'another philanthropy', 'hungry', 'free haircuts', ""nevada men's club soccer program"", 'international medical mission', '', 'play area', 'video games', 'regular seat', 'taxi', 'firetruck', 'race car', 'dvd', 'disney', 'nickelodeon favorites', 'video game', 'lollipop', 'keepsake card', 'toys', 'live jazz', 'makeup', 'waxing', 'skin care treatments', 'massages', 'small clothing boutique', 'jennk', ""men's lounge"", 'pool table', '', '', '', '', 'airplanes', 'police cars', 'toys', '', 'duross and langel shop', 'industry/customer appreciation nights', 'free yoga', 'dinner', '', 'cancer survivors', '', 'whole little photoshoot', '', '', '', '', 'community art space', 'great local art', 'occasional yoga class', 'local community organizations', 'beauty nights', 'jar of organic', 'vegan body scrub', 'tutorials', 'waxing', 'spray tanning', 'makeup', 'bridal services', 'atm', 'free wifi', 'coloring books', '', 'shop', 'studio', 'best little art galleries', 'local artists', 'fashion part', 'beautiful dresses', 'local causes', 'local organizations', 'individuals', '', '', '', '', 'best head massages', 'monroe carell jr hospital', 'their mini-boutique', 'clothing', 'local designer cinder+smoke', 'jewelry', 'local artist plum tipsy', '', '', '', 'little café', 'fireflies', '', 'exercise classes', '', 'certified massage therapist', 'prenatal massage', 'yoga', 'photography services', 'had massage', '', 'charity', '', 'tattoo studio', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
2,0.0,"['', '', '', '', '', '', '', '', '']","[['The salon has two vehicles for the tots to choose from as well as toys, children\'s songs and television cartoons. The haircut includes a balloon and a lollipop. A customer bought a ""first haircut"" certificate with a lock of kid\'s hair for the customer\'s baby book.'], ['A customer went to donate her hair to Locks of Love, if you donate 10 inches of hair your haircut is free.'], ['The salon has live jazz on the weekends.'], [''], ['The salon has a signature soap store and a yoga studio.'], ['The salon has handcrafted jewelry, handbags and/or jewelry to purchase.'], [""The salon provides services such as eyelash extensions, make-up, manicures, and spray tanning. There's a small yoga class hosted upstairs.""], ['The salon sells vintage dresses, new designer T shirts, jewelry pieces and handmade hats and scarfs. There is a photography studio in the back where you can book photo shoots as well.'], ['']]","['', '', '', 'firetruck', 'working pedal', 'sirens', 'his own tv', 'bubble machine', 'lollipop', 'balloon', 'events', 'wednesday night ""bike nights""', 'bikers', '', 'manicurist/pedicurist', '', '', '', '', '', 'blanket drive', 'local community', 'massage', 'photoshoot', 'beautiful affordable jewelry', 'shop', 'mani pedis', 'waxing room', '', 'dirt bike', 'toys', '', '', 'movies/tv', 'toys', 'floor-to-ceiling chalk board', 'glitter', 'balloon', 'videos', 'tutorials', 'go live', 'eyebrow waxes', '', '', 'adorable potted plants', 'succulents', 'unique jewelry', 'clothes', 'items', 'local artists', ""st. baldrick's cancer foundation"", 'another philanthropy', 'hungry', 'free haircuts', ""nevada men's club soccer program"", 'international medical mission', '', 'play area', 'video games', 'regular seat', 'taxi', 'firetruck', 'race car', 'dvd', 'disney', 'nickelodeon favorites', 'video game', 'lollipop', 'keepsake card', 'toys', 'live jazz', 'makeup', 'waxing', 'skin care treatments', 'massages', 'small clothing boutique', 'jennk', ""men's lounge"", 'pool table', '', '', '', '', 'airplanes', 'police cars', 'toys', '', 'duross and langel shop', 'industry/customer appreciation nights', 'free yoga', 'dinner', '', 'cancer survivors', '', 'whole little photoshoot', '', '', '', '', 'community art space', 'great local art', 'occasional yoga class', 'local community organizations', 'beauty nights', 'jar of organic', 'vegan body scrub', 'tutorials', 'waxing', 'spray tanning', 'makeup', 'bridal services', 'atm', 'free wifi', 'coloring books', '', 'shop', 'studio', 'best little art galleries', 'local artists', 'fashion part', 'beautiful dresses', 'local causes', 'local organizations', 'individuals', '', '', '', '', 'best head massages', 'monroe carell jr hospital', 'their mini-boutique', 'clothing', 'local designer cinder+smoke', 'jewelry', 'local artist plum tipsy', '', '', '', 'little café', 'fireflies', '', 'exercise classes', '', 'certified massage therapist', 'prenatal massage', 'yoga', 'photography services', 'had massage', '', 'charity', '', 'tattoo studio', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
3,0.0033059108362627687,"['', '', '', '', '', '', '', 'The restaurant has a dirt bike as a nice touch.', '']","[[''], [''], [''], ['The salon was hosting a blanket drive, and is involved in the local community.'], ['The salon does massages and photoshoots.'], ['The salon has some cases of jewelry placed in the shop. Customers can also have mani pedis, waxing room.'], [''], ['The salon has a dirt bike.'], ['The salon has toys for sale.']]","['', '', '', 'firetruck', 'working pedal', 'sirens', 'his own tv', 'bubble machine', 'lollipop', 'balloon', 'events', 'wednesday night ""bike nights""', 'bikers', '', 'manicurist/pedicurist', '', '', 'two vehicles', 'toys', ""children's songs"", 'television cartoons', 'balloon', 'lollipop', 'adorable ""first haircut"" certificate', 'locks of love', 'live jazz', '', 'their signature soap store', 'yoga studio', 'handcrafted jewelry', 'handbags', 'jewelry', 'eyelash extensions', 'make-up', 'manicures', 'spray tanning', 'small yoga class', 'vintage dresses', 'new designer t shirts', 'one of a kind jewelry pieces', 'handmade hats', 'scarfs', 'photography studio', '', '', '', 'movies/tv', 'toys', 'floor-to-ceiling chalk board', 'glitter', 'balloon', 'videos', 'tutorials', 'go live', 'eyebrow waxes', '', '', 'adorable potted plants', 'succulents', 'unique jewelry', 'clothes', 'items', 'local artists', ""st. baldrick's cancer foundation"", 'another philanthropy', 'hungry', 'free haircuts', ""nevada men's club soccer program"", 'international medical mission', '', 'play area', 'video games', 'regular seat', 'taxi', 'firetruck', 'race car', 'dvd', 'disney', 'nickelodeon favorites', 'video game', 'lollipop', 'keepsake card', 'toys', 'live jazz', 'makeup', 'waxing', 'skin care treatments', 'massages', 'small clothing boutique', 'jennk', ""men's lounge"", 'pool table', '', '', '', '', 'airplanes', 'police cars', 'toys', '', 'duross and langel shop', 'industry/customer appreciation nights', 'free yoga', 'dinner', '', 'cancer survivors', '', 'whole little photoshoot', '', '', '', '', 'community art space', 'great local art', 'occasional yoga class', 'local community organizations', 'beauty nights', 'jar of organic', 'vegan body scrub', 'tutorials', 'waxing', 'spray tanning', 'makeup', 'bridal services', 'atm', 'free wifi', 'coloring books', '', 'shop', 'studio', 'best little art galleries', 'local artists', 'fashion part', 'beautiful dresses', 'local causes', 'local organizations', 'individuals', '', '', '', '', 'best head massages', 'monroe carell jr hospital', 'their mini-boutique', 'clothing', 'local designer cinder+smoke', 'jewelry', 'local artist plum tipsy', '', '', '', 'little café', 'fireflies', '', 'exercise classes', '', 'certified massage therapist', 'prenatal massage', 'yoga', 'photography services', 'had massage', '', 'charity', '', 'tattoo studio', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
4,0.0,"['', '', '', '', '', '', '', '', ""BJ's Hair Shop in my heart.""]","[[''], [''], ['The salon has movies/tv, toys, and a floor-to-ceiling chalk board to keep kids occupied. At the end of each haircut, kids get glitter put in their hair and a balloon.'], ['The salon makes videos, tutorials, and go live to connect with their clients.'], ['The salon does eyebrow waxes.'], [''], [''], ['The salon sells adorable potted plants and succulents, as well as unique jewelry, clothes, and items made by local artists.'], [""The salon helped fundraise for St. Baldrick's cancer foundation. They helped run another philanthropy, a men's fashion show, to help feed the hungry. They gave all the contestants free haircuts. They donated over $500 to our Nevada Men's Club Soccer program. They helped fund an international medical mission.""]]","['', '', '', 'firetruck', 'working pedal', 'sirens', 'his own tv', 'bubble machine', 'lollipop', 'balloon', 'events', 'wednesday night ""bike nights""', 'bikers', '', 'manicurist/pedicurist', '', '', 'two vehicles', 'toys', ""children's songs"", 'television cartoons', 'balloon', 'lollipop', 'adorable ""first haircut"" certificate', 'locks of love', 'live jazz', '', 'their signature soap store', 'yoga studio', 'handcrafted jewelry', 'handbags', 'jewelry', 'eyelash extensions', 'make-up', 'manicures', 'spray tanning', 'small yoga class', 'vintage dresses', 'new designer t shirts', 'one of a kind jewelry pieces', 'handmade hats', 'scarfs', 'photography studio', '', '', '', '', 'blanket drive', 'local community', 'massage', 'photoshoot', 'beautiful affordable jewelry', 'shop', 'mani pedis', 'waxing room', '', 'dirt bike', 'toys', '', 'play area', 'video games', 'regular seat', 'taxi', 'firetruck', 'race car', 'dvd', 'disney', 'nickelodeon favorites', 'video game', 'lollipop', 'keepsake card', 'toys', 'live jazz', 'makeup', 'waxing', 'skin care treatments', 'massages', 'small clothing boutique', 'jennk', ""men's lounge"", 'pool table', '', '', '', '', 'airplanes', 'police cars', 'toys', '', 'duross and langel shop', 'industry/customer appreciation nights', 'free yoga', 'dinner', '', 'cancer survivors', '', 'whole little photoshoot', '', '', '', '', 'community art space', 'great local art', 'occasional yoga class', 'local community organizations', 'beauty nights', 'jar of organic', 'vegan body scrub', 'tutorials', 'waxing', 'spray tanning', 'makeup', 'bridal services', 'atm', 'free wifi', 'coloring books', '', 'shop', 'studio', 'best little art galleries', 'local artists', 'fashion part', 'beautiful dresses', 'local causes', 'local organizations', 'individuals', '', '', '', '', 'best head massages', 'monroe carell jr hospital', 'their mini-boutique', 'clothing', 'local designer cinder+smoke', 'jewelry', 'local artist plum tipsy', '', '', '', 'little café', 'fireflies', '', 'exercise classes', '', 'certified massage therapist', 'prenatal massage', 'yoga', 'photography services', 'had massage', '', 'charity', '', 'tattoo studio', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
5,0.12958296485006224,"['', ""The toys. The toys are in the drawer for your child to play with (although, I will pass, I don't want my kid touching something that's been handled by other peoples' crying, drooling, snotty children). The employees are usually very nice, and you can sit very near to your child while they get their trim. When finished, kids get a lollipop, and if it's their first haircut they even give you a keepsake card to put your first trim into."", '', '', '', '', '', '', '']","[[''], [""The salon has a play area along with some video games for older kids. While the kids get their hair cut, they can choose to sit in a regular seat, or a taxi, firetruck, or race car. They can also choose which DVD they'd like to watch, and there's quite an assortment of Disney and Nickelodeon favorites. They can also opt to play a video game. They have toys for your child to play with. When the haircut is finished, kids get a lollipop, and if it's their first haircut they even give you a keepsake card to put their first trim into. They have toys near the checkout.""], [""The salon features live jazz music on Saturday afternoons. They also offer makeup, waxing, skin care treatments, massages, a small clothing boutique called JennK, and a men's lounge with plasma TVs and a pool table.""], [''], [''], [''], [''], ['The salon has chairs that look like airplanes and police cars and the waiting room is filled with toys.'], ['']]","['', '', '', 'firetruck', 'working pedal', 'sirens', 'his own tv', 'bubble machine', 'lollipop', 'balloon', 'events', 'wednesday night ""bike nights""', 'bikers', '', 'manicurist/pedicurist', '', '', 'two vehicles', 'toys', ""children's songs"", 'television cartoons', 'balloon', 'lollipop', 'adorable ""first haircut"" certificate', 'locks of love', 'live jazz', '', 'their signature soap store', 'yoga studio', 'handcrafted jewelry', 'handbags', 'jewelry', 'eyelash extensions', 'make-up', 'manicures', 'spray tanning', 'small yoga class', 'vintage dresses', 'new designer t shirts', 'one of a kind jewelry pieces', 'handmade hats', 'scarfs', 'photography studio', '', '', '', '', 'blanket drive', 'local community', 'massage', 'photoshoot', 'beautiful affordable jewelry', 'shop', 'mani pedis', 'waxing room', '', 'dirt bike', 'toys', '', '', 'movies/tv', 'toys', 'floor-to-ceiling chalk board', 'glitter', 'balloon', 'videos', 'tutorials', 'go live', 'eyebrow waxes', '', '', 'adorable potted plants', 'succulents', 'unique jewelry', 'clothes', 'items', 'local artists', ""st. baldrick's cancer foundation"", 'another philanthropy', 'hungry', 'free haircuts', ""nevada men's club soccer program"", 'international medical mission', 'duross and langel shop', 'industry/customer appreciation nights', 'free yoga', 'dinner', '', 'cancer survivors', '', 'whole little photoshoot', '', '', '', '', 'community art space', 'great local art', 'occasional yoga class', 'local community organizations', 'beauty nights', 'jar of organic', 'vegan body scrub', 'tutorials', 'waxing', 'spray tanning', 'makeup', 'bridal services', 'atm', 'free wifi', 'coloring books', '', 'shop', 'studio', 'best little art galleries', 'local artists', 'fashion part', 'beautiful dresses', 'local causes', 'local organizations', 'individuals', '', '', '', '', 'best head massages', 'monroe carell jr hospital', 'their mini-boutique', 'clothing', 'local designer cinder+smoke', 'jewelry', 'local artist plum tipsy', '', '', '', 'little café', 'fireflies', '', 'exercise classes', '', 'certified massage therapist', 'prenatal massage', 'yoga', 'photography services', 'had massage', '', 'charity', '', 'tattoo studio', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
6,0.0,"['', '', '', '', '', '', '', '', '']","[['The salon is an addition to the Duross and Langel shop. They host industry/customer appreciation nights where there is free yoga and they cook customers dinner.'], [''], ['The salon provides customers with a way to donate their hair to cancer survivors.'], [''], [""A staff member set up a whole little photoshoot for nice photos of a customer's haircut.""], [''], [''], [''], ['']]","['', '', '', 'firetruck', 'working pedal', 'sirens', 'his own tv', 'bubble machine', 'lollipop', 'balloon', 'events', 'wednesday night ""bike nights""', 'bikers', '', 'manicurist/pedicurist', '', '', 'two vehicles', 'toys', ""children's songs"", 'television cartoons', 'balloon', 'lollipop', 'adorable ""first haircut"" certificate', 'locks of love', 'live jazz', '', 'their signature soap store', 'yoga studio', 'handcrafted jewelry', 'handbags', 'jewelry', 'eyelash extensions', 'make-up', 'manicures', 'spray tanning', 'small yoga class', 'vintage dresses', 'new designer t shirts', 'one of a kind jewelry pieces', 'handmade hats', 'scarfs', 'photography studio', '', '', '', '', 'blanket drive', 'local community', 'massage', 'photoshoot', 'beautiful affordable jewelry', 'shop', 'mani pedis', 'waxing room', '', 'dirt bike', 'toys', '', '', 'movies/tv', 'toys', 'floor-to-ceiling chalk board', 'glitter', 'balloon', 'videos', 'tutorials', 'go live', 'eyebrow waxes', '', '', 'adorable potted plants', 'succulents', 'unique jewelry', 'clothes', 'items', 'local artists', ""st. baldrick's cancer foundation"", 'another philanthropy', 'hungry', 'free haircuts', ""nevada men's club soccer program"", 'international medical mission', '', 'play area', 'video games', 'regular seat', 'taxi', 'firetruck', 'race car', 'dvd', 'disney', 'nickelodeon favorites', 'video game', 'lollipop', 'keepsake card', 'toys', 'live jazz', 'makeup', 'waxing', 'skin care treatments', 'massages', 'small clothing boutique', 'jennk', ""men's lounge"", 'pool table', '', '', '', '', 'airplanes', 'police cars', 'toys', '', 'community art space', 'great local art', 'occasional yoga class', 'local community organizations', 'beauty nights', 'jar of organic', 'vegan body scrub', 'tutorials', 'waxing', 'spray tanning', 'makeup', 'bridal services', 'atm', 'free wifi', 'coloring books', '', 'shop', 'studio', 'best little art galleries', 'local artists', 'fashion part', 'beautiful dresses', 'local causes', 'local organizations', 'individuals', '', '', '', '', 'best head massages', 'monroe carell jr hospital', 'their mini-boutique', 'clothing', 'local designer cinder+smoke', 'jewelry', 'local artist plum tipsy', '', '', '', 'little café', 'fireflies', '', 'exercise classes', '', 'certified massage therapist', 'prenatal massage', 'yoga', 'photography services', 'had massage', '', 'charity', '', 'tattoo studio', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
7,0.0,"['', '', '', '', '', '', '', '', '']","[['The salon is a community art space. There is always great local art for sale on the walls, the occasional yoga class where proceeds go to local community organizations, and beauty nights where you get to learn about and test products for free. A customer won a jar of organic, vegan body scrub at a beauty night.'], ['The staff also holds tutorials on hair as well as makeup. The salon offers waxing, spray tanning, makeup, and bridal services.'], ['There is an ATM in the salon.'], ['The salon has free wifi. They have coloring books for adults.'], [''], ['The salon is a shop as well as a studio. They have a little art gallery with art on the walls done by local artists. The designer of the fashion part of the store has dresses with sleek lines.'], ['The salon uses its anniversary party every year as a fundraiser for local causes in addition to all the other fundraising they do throughout the year to help various local organizations and individuals in need.'], [''], ['']]","['', '', '', 'firetruck', 'working pedal', 'sirens', 'his own tv', 'bubble machine', 'lollipop', 'balloon', 'events', 'wednesday night ""bike nights""', 'bikers', '', 'manicurist/pedicurist', '', '', 'two vehicles', 'toys', ""children's songs"", 'television cartoons', 'balloon', 'lollipop', 'adorable ""first haircut"" certificate', 'locks of love', 'live jazz', '', 'their signature soap store', 'yoga studio', 'handcrafted jewelry', 'handbags', 'jewelry', 'eyelash extensions', 'make-up', 'manicures', 'spray tanning', 'small yoga class', 'vintage dresses', 'new designer t shirts', 'one of a kind jewelry pieces', 'handmade hats', 'scarfs', 'photography studio', '', '', '', '', 'blanket drive', 'local community', 'massage', 'photoshoot', 'beautiful affordable jewelry', 'shop', 'mani pedis', 'waxing room', '', 'dirt bike', 'toys', '', '', 'movies/tv', 'toys', 'floor-to-ceiling chalk board', 'glitter', 'balloon', 'videos', 'tutorials', 'go live', 'eyebrow waxes', '', '', 'adorable potted plants', 'succulents', 'unique jewelry', 'clothes', 'items', 'local artists', ""st. baldrick's cancer foundation"", 'another philanthropy', 'hungry', 'free haircuts', ""nevada men's club soccer program"", 'international medical mission', '', 'play area', 'video games', 'regular seat', 'taxi', 'firetruck', 'race car', 'dvd', 'disney', 'nickelodeon favorites', 'video game', 'lollipop', 'keepsake card', 'toys', 'live jazz', 'makeup', 'waxing', 'skin care treatments', 'massages', 'small clothing boutique', 'jennk', ""men's lounge"", 'pool table', '', '', '', '', 'airplanes', 'police cars', 'toys', '', 'duross and langel shop', 'industry/customer appreciation nights', 'free yoga', 'dinner', '', 'cancer survivors', '', 'whole little photoshoot', '', '', '', '', '', '', 'best head massages', 'monroe carell jr hospital', 'their mini-boutique', 'clothing', 'local designer cinder+smoke', 'jewelry', 'local artist plum tipsy', '', '', '', 'little café', 'fireflies', '', 'exercise classes', '', 'certified massage therapist', 'prenatal massage', 'yoga', 'photography services', 'had massage', '', 'charity', '', 'tattoo studio', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
8,0.0,"['', '', '', '', '', '', 'The salon has a discount for your first visit and I believe they have some kind of discount for students and teachers. They also have a referral discount when you refer people.', '', '']","[[''], [''], [""The salon' staff gives the head massages. It's a no tipping company and they donate to Monroe Carell Jr Hospital with each visit.""], ['The salon has a mini-boutique. Clothing from local designer Cinder+Smoke and jewelry from local artist Plum Tipsy are among the products they stock.'], [''], [''], [''], ['The salon has a little café on a corner.'], ['From the southern porch of the salon, a customer watched fireflies while waiting for the appointment time.']]","['', '', '', 'firetruck', 'working pedal', 'sirens', 'his own tv', 'bubble machine', 'lollipop', 'balloon', 'events', 'wednesday night ""bike nights""', 'bikers', '', 'manicurist/pedicurist', '', '', 'two vehicles', 'toys', ""children's songs"", 'television cartoons', 'balloon', 'lollipop', 'adorable ""first haircut"" certificate', 'locks of love', 'live jazz', '', 'their signature soap store', 'yoga studio', 'handcrafted jewelry', 'handbags', 'jewelry', 'eyelash extensions', 'make-up', 'manicures', 'spray tanning', 'small yoga class', 'vintage dresses', 'new designer t shirts', 'one of a kind jewelry pieces', 'handmade hats', 'scarfs', 'photography studio', '', '', '', '', 'blanket drive', 'local community', 'massage', 'photoshoot', 'beautiful affordable jewelry', 'shop', 'mani pedis', 'waxing room', '', 'dirt bike', 'toys', '', '', 'movies/tv', 'toys', 'floor-to-ceiling chalk board', 'glitter', 'balloon', 'videos', 'tutorials', 'go live', 'eyebrow waxes', '', '', 'adorable potted plants', 'succulents', 'unique jewelry', 'clothes', 'items', 'local artists', ""st. baldrick's cancer foundation"", 'another philanthropy', 'hungry', 'free haircuts', ""nevada men's club soccer program"", 'international medical mission', '', 'play area', 'video games', 'regular seat', 'taxi', 'firetruck', 'race car', 'dvd', 'disney', 'nickelodeon favorites', 'video game', 'lollipop', 'keepsake card', 'toys', 'live jazz', 'makeup', 'waxing', 'skin care treatments', 'massages', 'small clothing boutique', 'jennk', ""men's lounge"", 'pool table', '', '', '', '', 'airplanes', 'police cars', 'toys', '', 'duross and langel shop', 'industry/customer appreciation nights', 'free yoga', 'dinner', '', 'cancer survivors', '', 'whole little photoshoot', '', '', '', '', 'community art space', 'great local art', 'occasional yoga class', 'local community organizations', 'beauty nights', 'jar of organic', 'vegan body scrub', 'tutorials', 'waxing', 'spray tanning', 'makeup', 'bridal services', 'atm', 'free wifi', 'coloring books', '', 'shop', 'studio', 'best little art galleries', 'local artists', 'fashion part', 'beautiful dresses', 'local causes', 'local organizations', 'individuals', '', '', '', 'exercise classes', '', 'certified massage therapist', 'prenatal massage', 'yoga', 'photography services', 'had massage', '', 'charity', '', 'tattoo studio', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
9,0.0,"['', '', '', '', '', '', '', '', '']","[[''], ['The salon offers exercise classes.'], [''], ['The salon offers a certified massage therapist (that is also certified in prenatal massage), yoga on Monday nights, and photography services.'], ['On some occasions, a customer received a hand massage.'], [''], ['The salon allows you to donate a buck or two to charity.'], [''], ['The salon has a tattoo studio attached.']]","['', '', '', 'firetruck', 'working pedal', 'sirens', 'his own tv', 'bubble machine', 'lollipop', 'balloon', 'events', 'wednesday night ""bike nights""', 'bikers', '', 'manicurist/pedicurist', '', '', 'two vehicles', 'toys', ""children's songs"", 'television cartoons', 'balloon', 'lollipop', 'adorable ""first haircut"" certificate', 'locks of love', 'live jazz', '', 'their signature soap store', 'yoga studio', 'handcrafted jewelry', 'handbags', 'jewelry', 'eyelash extensions', 'make-up', 'manicures', 'spray tanning', 'small yoga class', 'vintage dresses', 'new designer t shirts', 'one of a kind jewelry pieces', 'handmade hats', 'scarfs', 'photography studio', '', '', '', '', 'blanket drive', 'local community', 'massage', 'photoshoot', 'beautiful affordable jewelry', 'shop', 'mani pedis', 'waxing room', '', 'dirt bike', 'toys', '', '', 'movies/tv', 'toys', 'floor-to-ceiling chalk board', 'glitter', 'balloon', 'videos', 'tutorials', 'go live', 'eyebrow waxes', '', '', 'adorable potted plants', 'succulents', 'unique jewelry', 'clothes', 'items', 'local artists', ""st. baldrick's cancer foundation"", 'another philanthropy', 'hungry', 'free haircuts', ""nevada men's club soccer program"", 'international medical mission', '', 'play area', 'video games', 'regular seat', 'taxi', 'firetruck', 'race car', 'dvd', 'disney', 'nickelodeon favorites', 'video game', 'lollipop', 'keepsake card', 'toys', 'live jazz', 'makeup', 'waxing', 'skin care treatments', 'massages', 'small clothing boutique', 'jennk', ""men's lounge"", 'pool table', '', '', '', '', 'airplanes', 'police cars', 'toys', '', 'duross and langel shop', 'industry/customer appreciation nights', 'free yoga', 'dinner', '', 'cancer survivors', '', 'whole little photoshoot', '', '', '', '', 'community art space', 'great local art', 'occasional yoga class', 'local community organizations', 'beauty nights', 'jar of organic', 'vegan body scrub', 'tutorials', 'waxing', 'spray tanning', 'makeup', 'bridal services', 'atm', 'free wifi', 'coloring books', '', 'shop', 'studio', 'best little art galleries', 'local artists', 'fashion part', 'beautiful dresses', 'local causes', 'local organizations', 'individuals', '', '', '', '', 'best head massages', 'monroe carell jr hospital', 'their mini-boutique', 'clothing', 'local designer cinder+smoke', 'jewelry', 'local artist plum tipsy', '', '', '', 'little café', 'fireflies', 'free hand massages', 'other services', '', 'revolving art gallery', '', '', 'uli', 'shop cat', 'openings', 'local music/dance/art scene', '', '', 'ear piercing']"
