,precision,recall,f1,preds,labels
0,60.876,56.492,58.355999999999995,"model: t5-base
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 8",
1,0.0,0.0,0.0,"['', '', '', '', '', '', '', '', '', '', '']","['video', 'None', 'local wildlife, anarchists, hackers, organic gardeners, activists', 'pokestops, cemetery', 'tour, estate, garden room, tour, red wine collection, cellar room, extensive collection, wine bottles, adjacent garden, open kitchen', 'None', 'guidebook', 'None', 'None', 'garden, art, gift shop, cute wallet, shawl, necklace', 'None']"
2,0.0,0.0,0.0,"['', '', '', '', '', '', '', '', '', '', '']","['audiobook', 'None', 'petting zoo, rooster, goat, pigs, cutest little piglet', 'life size beer pong, pool table, arcade games, nfl blitz 99, madden 15', 'entrance fee, adoption, Stray Cat Alliance', 'Casinos, concert, AVA amphitheater', 'table and floor games, Jenga, big Connect 4, sand, beach umbrellas, beach volleyball, badminton', 'capoiera/zumba studio', ""Sparkman's Warf, virtual golf, games, zombie dodgeball, Channelside"", 'events, hypnosis show, drag show, karaoke night, QuizO, entertainment', 'None']"
3,47.83,47.83,47.83,"['None', 'Sketch', 'tour de bier, history lesson, explanation of notes, blue ribbon tasting experience', 'None', 'None', 'playground, Goose Creek Park', ""children's menu, half rolls, half rolls"", 'breakfast brunch lunch and dinner', 'None', 'lottery machine, keno, computer nascar style racing, computer football', 'beautiful plants, candles, terrariums, indoor store, cute pots, candles,']","['None', 'great therapeutic sketching', 'amazing tour de bier, history lesson', 'None', 'DDD, Food Network', 'parklands, Goose Creek Park, playground', 'None', 'None', 'Nice playroom', 'scratch off lottery machine, keno, computer nascar style racing, computer football', 'huge area, plants, cute indoor store, beautiful pots, candles, terrariums']"
4,68.18,51.72,58.82,"['club, nightclub, music, dancefloor', 'None', 'None', 'circus, carnival, other performances, live music', 'beautiful garden, hummingbirds, songbirds', 'dance floors, photo booth, Penns Landing fireworks', 'souvenir T-shirts & hats, my fianc had to get himself ', 'None', 'None', 'None', 'None']","['their nightclub', 'None', 'None', 'special event, Circus, Carnival, baby alligator, anaconda, fire, glass, other performances, live music, really good events', 'beautiful garden, hummingbirds, songbirds', 'dance floors, photo booth, Penns Landing fireworks', 'Good Burger Car, souvenir T-shirts, hats,""HI AF"" shirt', 'None', 'used books, Basics of Mechanical Engineering, A Guide on Planetary Leadership, internet', 'None', 'None']"
5,69.57,57.14,62.75,"['None', 'trivia night, fireworks', 'free wifi, ample parking', 'Live music, lounge area, fishies, tank', 'paper studio, journals, gift tags, local charity', 'Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent)', 'None', 'Great Clips, Good Clips, Good Clips', 'None', 'free calendar', 'boaters, dock, pets, boaters']","['water, manatee', 'trivia night, fireworks', 'free wifi, gardener, coffee grounds, compost', 'Live music, lounge area, fishies, tank', 'paper studio, journals, gift tags, their candles, lip balms, local charity', 'Derek St. Holmes, blues', 'None', 'None', 'None', 'free calendar', 'water, boaters, dock, your pets']"
6,77.78,87.5,82.35,"['river walk', 'outreach program, meal sponsorship program, at-risk youth', 'their apothecary area, medicinal teas, spiritual readings', 'parakeet paradise', 'None', 'None', 'None', 'gators, airboat ride', 'yoga, henna artist, tattoos', 'peacocks, long public dock', 'None']","['river walk', 'outreach program, meal sponsorship program', 'on site medium, Their apothecary area', 'parakeet paradise', 'None', 'None', 'None', 'gators, airboat ride', 'yoga, henna artist', 'peacocks, long public dock', 'None']"
7,85.0,73.91,79.07,"['None', 'None', 'None', 'mini trampoline', 'music venue, music venue, ping pong, shuffleboard, balcony seating,', 'free comic', 'None', 'lounge area, symbolism, custom associations', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers,', 'None', 'La Colombe, their three locations, their awesome skateboard deck']","['None', 'None', 'None', 'mini trampoline', 'free wifi, ping pong, shuffleboard, music venue', 'free comic', 'None', 'lounge area, symbolism, custom associations', 'Sunbathers, shore, kite surfers, jet powered surfboard surfers, dolphin spotting, overhang, open air beach view', 'None', 'his own skating company, awesome skateboard deck']"
8,100.0,82.61,90.48,"['Local artists, customized Carmel sportswear, greeting cards', 'None', 'ponchos', 'polaroid', 'bookstore/gift shop', 'free tour, Clydesdales horses', 'None', 'None', 'None', 'candy machine, watercolors, local artist, paintings', 'board games, trivia Pursuit, small concerts']","['Local artists, customized Carmel sportswear, greeting cards, anniversary gifts', 'None', 'ponchos', 'polaroid', 'bookstore/gift shop', 'their tour, 10 dollar fresh day tour, free tour, their museum, Clydesdales horses', 'None', 'None', 'None', 'candy machine, watercolors, local artist, paintings', 'board games, trivia Pursuit, small concerts']"
9,84.21,84.21,84.21,"['stand-up comic', 'None', 'Philly Community Acupuncture', 'None', 'None', 'tips, hikes, activities, golf course', 'section, professional babysitting service, different size diapers, paper, paper', 'karaoke venue', 'canoeing, kayaking, sunny fish', 'None', 'Indy 500 photos and collectibles, mini museum']","['stand-up comic', 'None', 'Philly Community Acupuncture', 'None', 'None', 'tips, hikes, activities, golf course', 'section, professional babysitting service, different size diapers', 'karaoke venue', 'canoeing, kayaking, sunny fish', 'None', 'Indy 500 photos and collectibles, mini museum']"
