,bleu,preds,labels
0,0.1157288724609086,"model: flan-t5-small
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 4
gradient_accumulation_steps: 4",
1,0.0,"['Great nightclub!', ""I've been here twice and have been a regular here for years. I've"", 'Wasabi2 is a great place to grab a quick bite to eat.', 'I love the West Market.', ""- a lil pricy (not horrible for SB) but it's"", 'I love the wings and wings.', 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The food was great.', ""I love this place. It's kid friendly and they have a great selection of different"", 'Besito is a great place to go for a quick meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
2,0.0,"[""I've been to this nightclub for years and it's always great. I'"", ""I've been here twice and have been a regular here for years. I've"", 'Wasabi2 is a great place to grab a quick bite to eat.', 'I love the food and the service.', ""- a lil pricy (not horrible for SB) but it's"", ""I've been to the babs for years and have never had a problem with"", 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The food was ok.', ""I love this place. It's a great place to take your kids."", 'Besito is a great place to go for a quick meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
3,0.0,"[""I've been to this nightclub for years and have been a regular here for years"", ""I've been here twice and have been a regular here for years. I've"", 'Wasabi2 is a great place to grab a quick bite to eat.', 'I love the food and the service.', ""- a lil pricy (not horrible for SB) but it's"", ""I've been to the babs for years and have never had a problem with"", 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The food was ok.', ""I love this place. It's a great place to take your kids."", 'Besito is a great place to go for a quick meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
4,0.0,"[""I've been to this nightclub for years and have been a regular here for years"", ""I've been here twice and have been a regular here for years. I've"", 'Wasabi2 is a great place to grab a quick bite to eat.', ""I'm a fan of the sexy atmosphere."", ""- a lil pricy (not horrible for SB) but it's"", ""I've been to the babs for years and have never had a problem with"", 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The food was ok.', ""I love this place. It's a great place to take your kids."", 'Besito is a great place to go for a quick meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
5,0.0,"[""I've been to this nightclub for years and have been a regular here for years"", ""I've been here twice and have been a regular here for years. I've"", 'Wasabi2 is a great place to grab a quick bite to eat.', ""I'm a fan of the sexy atmosphere."", ""- a lil pricy (not horrible for SB) but it's"", ""I've been to the babs for years and have never had a problem with"", 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The food was ok.', ""I love this place. It's a great place to take your kids."", 'Besito is a great place to go for a quick meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
6,0.0,"[""I've been to this nightclub for years and have been a regular here for years"", ""I've been here twice and have been a regular here for years. I've"", 'Wasabi2 is a great place to grab a quick bite to eat.', ""I'm a fan of the sexy atmosphere."", ""- a lil pricy (not horrible for SB) but it's"", ""I've been to the babs for years and have never had a problem with"", 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The food was ok.', ""I love this place. It's a great place to take your kids."", 'Besito is a great place to go for a quick meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
7,0.0,"[""I've been to this nightclub for years and have been a regular here for years"", ""I've been here twice and have been a regular here for years."", 'Wasabi2 is a great place to grab a quick bite to eat.', ""I'm a fan of the sexy atmosphere."", ""- a lil pricy (not horrible for SB) but it's"", ""I've been to the babs for years and have never had a problem with"", 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The food was ok.', ""I love this place. It's a great place to take your kids."", 'Besito is a great place to go for a quick meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
8,0.0,"[""I've been to this nightclub for years and have been a regular here for years"", ""I've been here twice and have been a regular here for years."", 'Wasabi2 is a great place to grab a quick bite to eat.', ""I'm a fan of the sexy atmosphere."", ""- a lil pricy (not horrible for SB) but it's"", ""I've been to the babs for years and have never had a problem with"", 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The music was great.', ""I love this place. It's a great place to go for a quick meal"", 'Besito is a great place to go for a quick meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
9,0.0,"[""I've been to this nightclub for years and have been a regular here for years"", ""I've been here twice and have been a regular here for years."", 'Wasabi2 is a great place to grab a quick bite to eat.', ""I'm a fan of the sexy atmosphere."", ""- a lil pricy (not horrible for SB) but it's"", ""I've been to the babs for years and have never had a problem with"", 'La Colombe is a great place to go for a quick coffee and a', 'Urban Shabu is a good place to go for a quick meal.', 'The music was great.', 'I love this place. I love the concept of it. I love the concept of it.', 'I love Besito!']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
