,bleu,preds,labels
0,0.8594888157091258,"model: flan-t5-xl
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,0.15725431794802092,"['They have a secluded VIP area where you can dance in an elevated room with an open section to see out onto the dancefloor.', 'They have dairy-free options. The vegan pumpkin whoopie pie is so damn good.', 'They have a free calendar.', 'They have a lounge area behind. So you can take your drink in the lounge and kick back.', 'None', 'None', 'They have a location in Seoul.', 'They have a huge cockroach.', 'None', 'They have a professional babysitting service at the restaurant.', 'They have a complimentary chips and salsa.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
2,0.3709976442109539,"['One night they had a special event--a Circus type thing or more like a Carnival with a real side show. Customers got to pet a baby alligator, hold an anaconda and see a guy breathe fire and walk on glass.', 'On the weekends kids can experience ""Mark the Balloon Guy"". His creations are unique and entertaining. Customers can park at the old Mazda dealership next door. On the weekends kids can experience ""Mark the Balloon Guy"". His creations are unique and entertaining. Customers can sing ""happy birthday"" for another guest.', 'They have a happy hour special. They have a pool table and recently added arcade games (nfl blitz 99 beats madden 15 all day).', 'None', 'None', 'They offer a view of the river walk.', 'None', 'None', 'They make their bagels and donuts on site every morning. They sell lottery tickets/ scratchers and boba alongside danishes, egg sandwiches, croissants, and other pastries.', 'They have a huge verity of hookah flavors. They offer events such as a hypnosis show, drag show, karaoke night, or QuizO.', 'None']","[['One night they had a special event where customers got to pet a baby alligator, hold an anaconda and see a guy breathe fire and walk on glass. They had live music.'], ['On the weekends kids can experience ""Mark the Balloon Guy"". They have stuffed animal/puppets for sale at the front.'], ['They offer life size beer pong at their outside patio. They have a pool table. They recently added arcade games, such as nfl blitz 99 and madden 15.'], ['They are close to a dock area where customers can board paddle cruises.'], ['They are a karaoke venue.'], ['They offer a view of a river walk.'], ['None'], ['None'], ['They sells lottery tickets/ scratchers.'], ['They offer events such as a hypnosis show, drag show, karaoke night, or QuizO. They offer entertainment.'], ['None']]"
3,0.926125010641409,"['They have table and floor games inside - Jenga and big Connect 4. There is a room for beach volleyball or badminton.', 'None', 'None', 'None', 'None', 'None', 'None', 'For the NYE holiday they brought in a henna tattoo artist and a fortune teller.', 'They have virtual golf. Customers can play games like zombie dodgeball.', 'Each table has a guidebook of Italy tourist spots.', 'They have the car from the movie Good Burger. They sell souvenir T-shirts & hats, & a customer got a ""HI AF"" shirt. The shirts are heavily influenced by the movie Good Burger.']","[['They have table and floor games inside - Jenga and big Connect 4. There is a room for beach volleyball or badminton.'], ['None'], ['None'], ['None'], ['None'], ['None'], ['None'], ['They project Bollywood movies. For the NYE holiday they brought in a henna tattoo artist and a fortune teller.'], ['Customers can play virtual golf. Customers can play games like zombie dodgeball.'], ['Each table has a guidebook of Italy tourist spots.'], ['They have the car from the movie Good Burger. They sell souvenir T-shirts & hats, & a customer got a ""HI AF"" shirt. The shirts are heavily influenced by the movie Good Burger.']]"
4,1.0,"['The place is more of an indoor cat petting zoo than a cat cafe. Customers pay for the entrance fee to support the cats. The cats are available for adoption through the Stray Cat Alliance.', 'They sell ponchos.', 'None', 'None', 'None', 'None', 'They have an outside dining area overlooking a golf course.', 'They have a mini trampoline.', 'None', 'None', 'None']","[['The place is more of an indoor cat petting zoo than a cat cafe. Customers pay for the entrance fee to support the cats. The cats are available for adoption through the Stray Cat Alliance.'], ['They sell ponchos.'], ['None'], ['None'], ['None'], ['None'], ['They have an outside dining area overlooking a golf course.'], ['They have a mini trampoline.'], ['None'], ['None'], ['None']]"
5,1.0,"['They have free wifi. Customers can go upstairs to play ping pong or shuffleboard. They have a music venue with balcony seating.', 'They have trivia nights. They offer a perfect vantage point of the 4th of July fireworks.', ""They have an outside deck with a view of the parklands. Customers can go for a walk in the Goose Creek Park behind the restaurant. There's a playground in the adjoining park."", 'None', 'None', 'They have therapeutic sketching at every table.', 'None', 'Customers can sit along the water where they can see manatees.', 'None', 'A paper studio where the women of the program are making journals and gift tags, etc. is right there. They sell their candles, lip balms, etc. Customers can support a local charity.', 'None']","[['They have free wifi. Customers can go upstairs to play ping pong or shuffleboard. They have a music venue with balcony seating.'], ['They have trivia nights. They offer a perfect vantage point of the 4th of July fireworks.'], [""They have an outside deck with a view of the parklands. Customers can go for a walk in the Goose Creek Park behind the restaurant. There's a playground in the adjoining park.""], ['None'], ['None'], ['They have therapeutic sketching at every table.'], ['None'], ['Customers can sit along the water where they can see manatees.'], ['None'], ['A paper studio where the women of the program are making journals and gift tags, etc. is right there. They sell their candles, lip balms, etc. Customers can support a local charity.'], ['None']]"
6,1.0,"['One day Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent) played some nasty blues there.', 'None', 'None', ""If you're there for a special occasion, they'll take a polaroid and add it to their wall."", ""They offer a great spot around dusk because the peacocks come out of the park woods & will walk right up to the outdoor area. Customers can catch the sunset- there's a long public dock w benches to comfortably sit on & watch the blaze of glory."", 'None', 'None', 'They are a place on the water. Boaters can come right up to dock. Customers can bring their pets.', 'None', 'None', 'They offer canoeing and kayaking. Customers can feed the sunny fish off the deck.']","[['One day Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent) played some nasty blues there.'], ['None'], ['None'], [""If you're there for a special occasion, they'll take a polaroid and add it to their wall.""], [""They offer a great spot around dusk because the peacocks come out of the park woods & will walk right up to the outdoor area. Customers can catch the sunset- there's a long public dock w benches to comfortably sit on & watch the blaze of glory.""], ['None'], ['None'], ['They are a place on the water. Boaters can come right up to dock. Customers can bring their pets.'], ['None'], ['None'], ['They offer canoeing and kayaking. Customers can feed the sunny fish off the deck.']]"
7,1.0,"['None', 'Cider and yoga was happening the day a customer was there. There was a henna artist doing tattoos one night.', 'None', 'They feature an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership."" They have so-so internet.', 'None', 'They offer a great view of gators in a pond/bayou partition. Customers can catch an airboat ride down the road.', 'None', 'None', 'Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.', ""Customers are encouraged to visit their 'petting zoo' in the back. They have a rooster, a goat, several pigs and the cutest little piglet."", 'They gave a kid a free comic.']","[['None'], ['Cider and yoga was happening the day a customer was there. There was a henna artist doing tattoos one night.'], ['None'], ['They feature an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership."" They have so-so internet.'], ['None'], ['They offer a great view of gators in a pond/bayou partition. Customers can catch an airboat ride down the road.'], ['None'], ['None'], ['Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.'], [""Customers are encouraged to visit their 'petting zoo' in the back. They have a rooster, a goat, several pigs and the cutest little piglet.""], ['They gave a kid a free comic.']]"
8,1.0,"['They are a casino. Customers can see a concert at the AVA amphitheater.', 'Live bands play there. They have free Wifi. They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.', 'The view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike.', 'None', 'They have live music and lounge area with sofas. Kids can snorkel in the fish tank.', ""There are a ton of pokestops around since it's right across from the cemetery. It is a pokestop by itself."", 'None', 'None', 'None', 'For New Years they had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.', 'They have a nice playroom for the kids.']","[['They are a casino. Customers can see a concert at the AVA amphitheater.'], ['Live bands play there. They have free Wifi. They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.'], ['The view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike.'], ['None'], ['They have live music and lounge area with sofas. Kids can snorkel in the fish tank.'], [""There are a ton of pokestops around since it's right across from the cemetery. It is a pokestop by itself.""], ['None'], ['None'], ['None'], ['For New Years they had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.'], ['They have a nice playroom for the kids.']]"
9,1.0,"['One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore. Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day. There is fresh air and dolphin spotting. They have an open air beach view.', 'None', 'None', 'The sushi chef once did a puppet show for customers who sat at the counter.', 'Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.', 'They have an audiobook teaching Italian in the bathroom.', 'None', 'They have board games to play. They have trivia Pursuit. They have a stage are for small concerts.', 'None', 'There were watercolors of the Philly area, done by a local artist, on the walls. The paintings were for sale.', 'They have an on site medium to contact your ancestors and read your cards to awaken your spirituality. They have an apothecary area where they assemble their medicinal teas and perform their spiritual readings.']","[['One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore. Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day. There is fresh air and dolphin spotting. They have an open air beach view.'], ['None'], ['None'], ['The sushi chef once did a puppet show for customers who sat at the counter.'], ['Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.'], ['They have an audiobook teaching Italian in the bathroom.'], ['None'], ['They have board games to play. They have trivia Pursuit. They have a stage are for small concerts.'], ['None'], ['There were watercolors of the Philly area, done by a local artist, on the walls. The paintings were for sale.'], ['They have an on site medium to contact your ancestors and read your cards to awaken your spirituality. They have an apothecary area where they assemble their medicinal teas and perform their spiritual readings.']]"
