,bleu,preds,labels
0,0.8524005126997157,"model: flan-t5-xl
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 1
gradient_accumulation_steps: 16",
1,0.0,"[""I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience. The food is always good and the service is always great. I've been here a few times and have always had a great experience."", ""I've been to this place a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good. The food is good and the service is good. I've been there a few times and it's always been good."", 'Wasabi2 is a great sushi spot. The sushi is fresh and the prices are reasonable. The staff is friendly and the atmosphere is great.', 'The best place to get a drink in the city.', ""I'm a fan of the ice cream."", ""I've been to a few bab a li'l places in the past and this is by far the best. The food is fresh and the service is great."", ""I've been to La Colombe in NYC, Chicago, and now Seoul. I've been to the one in Seoul and it was awesome. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great. I've been to the one in Philadelphia and it was great."", ""I've been to Urban Shabu a few times and have always enjoyed it. The portions are generous and the food is good. The only thing that has kept me from giving it a 5 star rating is the bugs. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug. I've been there a few times and have never seen a bug."", ""I've been to this place a few times and it's always been good. The food is good and the service is good. I've been to this place a few times and it's always been good. The food is good and the service is good."", ""I've been to this place a few times and it's always been good. The food is good and the portions are good. The staff is friendly and the place is clean. I've been there a few times and it's always been good."", ""I've been to Besito a few times now and have always been pleased with the food and service. The food is always fresh and the prices are reasonable. I've had the tamales, fajitas, and the fajita plate. All of the food is delicious and the portions are generous. I've also had the fajitas and they were all delicious. I've also had the fajitas and they were all delicious. I've had the tamales and they were all delicious. I've also had the fajitas and they were all delicious. I've had the tamales and they were all delicious. I've had the fajitas and they were all delicious. I've had the tamales and they were all delicious. I've had the fajitas and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious. I've had the tamales and they were all delicious.""]","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
2,0.0,"[""I've been to this place a few times and it's always been good. The food is good and the service is always good. The only thing I don't like is the fact that they don't have a drive thru."", ""I've been to the Philly location a few times and have always been pleased with the food and service. The food is always fresh and the service is always friendly. The only thing I haven't tried is the iced tea."", 'Wasabi2 is a great sushi spot in the shopping center. The sushi is fresh and the prices are reasonable. The staff is friendly and the atmosphere is great.', 'The best place to get a drink in the city.', ""I'm a fan of the sourdough bread."", ""I've been to a few of the bab a lil' babs in the area and this one is the best. The bab is a little on the greasy side but it's good. The bab is a little on the greasy side but it's good. The bab is a little on the greasy side but it's good."", ""I've been to La Colombe in NYC, Chicago, and now Seoul. I've been to La Colombe in NYC, Chicago, and now Seoul."", ""I've been to Urban Shabu a few times and have always enjoyed it. The food is always good and the portions are generous. The only thing that has kept me from giving it a 5 star rating is the cockroaches. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big. I've been to many a restaurant and have never seen one that big."", ""I've been to the 'St. Louis' location a few times and have always been pleased with the food and service. The food is always good and the service is always friendly."", ""I've been to this place a few times and it's always been good. The food is good and the portions are good. The staff is friendly and the place is clean."", ""I've been to Besito a few times now and have always had a great experience. The food is always good and the service is always friendly. I've tried the guacamole and the tamales and both were delicious. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good. I've also had the tamales and they were good.""]","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
3,0.010983890151414181,"[""I've been to this place a few times and it's always been good. The food is good and the service is always good."", 'Located in the heart of Philadelphia, this is a great place to grab a quick bite and a drink.', ""Wasabi2 is a sushi spot in a shopping center!! Something you don't see just all the time. All jokes aside, I think Wasabi2 has some of the best, reasonably priced sushi/sashimi around. The employee who answers the phone every time I order is so freaking friendly, I address him by his first name when I go pick up my food. One time I got a free calendar and it was pretty hilarious to watch 6 of my family members look at their zodiac symbol and argue whether they do or don't fit the traits of their cosmic sign. One thing we can't argue over is how consistently good this sushi spot is."", 'Located in the West Market, this is a great place to grab a drink and a snack.', 'i love this place!', 'The food is good, the service is good, and the atmosphere is great.', 'La Colombe is a coffee shop that is a little bit of a hidden gem in Philadelphia. It is a great place to grab a coffee and a snack. The staff is very friendly and the coffee is delicious.', 'The food was good, but the service was a bit slow.', 'The food was good, but the service was terrible.', ""I've been to this place a few times and it's always been good. The food is good and the portions are good. I've had the Cuban and it comes with chips. I have also had one of their bowls and that was really good. I was able to customize both of those meals to be dairy free. Their kid meals are good portions and they have healthy option for children."", 'Besito is a great place to go for a quick bite and a drink. The food is great and the service is always friendly.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
4,0.016132893566040755,"['The food was good, but the service was horrible.', 'Located in the heart of Philadelphia, the Rittenhouse Square hotel is a great place to stay.', ""Wasabi2 is a sushi spot in a shopping center!! Something you don't see just all the time. All jokes aside, I think Wasabi2 has some of the best, reasonably priced sushi/sashimi around. The employee who answers the phone every time I order is so freaking friendly, I address him by his first name when I go pick up my food. One time I got a free calendar and it was pretty hilarious to watch 6 of my family members look at their zodiac symbol and argue whether they do or don't fit the traits of their cosmic sign. One thing we can't argue over is how consistently good this sushi spot is."", 'Located in the West Market, this is a great place to go for a drink and a snack.', 'Located in the heart of the city, this is a great place to grab a bite to eat.', 'The best place to go for a quick bite to eat.', 'The newest addition to the Philadelphia Museum of Art, the Philadelphia Museum of Art is a museum dedicated to the history of the Philadelphia Museum of Art.', 'The best pho in town.', 'The food was good, but the service was terrible.', 'Located in the heart of the Fashion Square Mall, this restaurant is a great place to grab a bite to eat with your family.', 'Besito is a great place to go for a great meal.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
5,0.028425326482721787,"['Located in the heart of the Fashion Square Mall, this upscale, yet casual eatery offers a wide selection of wines, cheeses, breads, and appetizers.', ""Located in the heart of Philadelphia, the Rittenhouse Square hotel is a great place to stay if you're looking for a centrally located hotel with a great view of the city."", ""Wasabi2 is a sushi spot in a shopping center!! Something you don't see just all the time. The employee who answers the phone every time I order is so freaking friendly, I address him by his first name when I go pick up my food. One time I got a free calendar and it was pretty hilarious to watch 6 of my family members look at their zodiac symbol and argue whether they do or don't fit the traits of their cosmic sign. One time we can't argue about is how consistently good this sushi spot is."", ""Located in the West Market, this is a bit of self care and indulgence for when you want to relax and de-stress and if you don't want to go to the bar but have another option. Relax and enjoy. There's a lounge area behind. So you can take your drink in the lounge and kick back. Caffeinated choices are available. If you like your tastebuds teased, this is a treat. Perfect for yogis and if you like incense. (there's no incense, but it may remind you...). Can be an spiritual experience as there are symbolism and custom associations provided if you want to try them. Just ask the very knowledgeable Server. It is what you make it. Whatever style makes you comfortable. You have to go inside the West Market to find it! Do not miss."", 'Located in the heart of the city, this is a great place to grab a bite to eat.', 'Located in the heart of the city, this hotel is a short walk from the Metro and the Central Business District.', 'The best place to get a good cup of coffee in the city.', 'Located in the heart of the Fashion Show Mall, this upscale, yet casual eatery offers a wide selection of Asian cuisine.', 'Located in the heart of the city, this hotel is a short walk from the main shopping area and the theatres.', 'Located in the heart of the Fashion Square Mall, this upscale, yet casual eatery offers a wide selection of healthy, well-priced options.', 'Located in the heart of the Las Vegas Strip, the Palms is a great place to stay.']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
6,0.05433394428144784,"['Located in the heart of the Fashion Square Mall, this upscale, yet casual eatery offers a wide selection of wines, cheeses, breads, and appetizers.', 'Located in the heart of Philadelphia, this is a great place to hang out and get some writing done, or a good stop-over after a lovely trip to Philly Community Acupuncture (on the top floor of the same building).', ""Located in the shopping center, Wasabi2 has some of the best, reasonably priced sushi/sashimi around. The employee who answers the phone every time I order is so freaking friendly, I address him by his first name when I go pick up my food. One time I got a free calendar and it was pretty hilarious to watch 6 of my family members look at their zodiac symbol and argue whether they do or don't fit the traits of their cosmic sign."", ""Located in the West Market, this is a bit of self care and indulgence for when you want to relax and de-stress and if you like incense. (there's no incense, but it may remind you...). Can be an spiritual experience as there are symbolism and custom associations provided if you want to try them. Just ask the very knowledgeable Server."", 'The best burgers in town.', 'Located in the heart of the city, this is a great place to grab a bite to eat.', 'The best place to get a good cup of coffee in the city.', 'Located in the heart of the Fashion Show Mall, this upscale, yet casual eatery offers a wide selection of Asian cuisine.', 'Located in the heart of the city, this hotel is a short walk from the main shopping area and the theatres.', 'Located in the heart of the Fashion Square shopping district, this is a great place to grab a bite to eat.', 'Las Vegas hotel deals for the week of April 23, 2018']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
7,0.19345037990624028,"['– I haven’t had a chance to dine here but their nightclub on Saturday nights is amazing!', 'good place to hang out after a lovely trip to Philly Community Acupuncture (on the top floor of the same building)', 'good this sushi spot can’t argue with is how consistently good this sushi spot is. One thing we can’t argue is how consistently good this sushi spot is.', 'Located in the West Market, this is a must try.', 'The best burgers in town.', 'unsure how to eat or order, there is a video to tutor you how to.', '.com', ""the restaurant upstairs has (had?) infestation problems in the past, but that's no excuse for Urban Shabu."", 'Located in the heart of the city, this hotel is a short walk from the main drag.', 'good but the portions are little small.', '.com']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
8,0.20059610682558943,"['– This is a great place if you like to go out for a night of dancing.', 'good place to hang out after a lovely trip to Philly Community Acupuncture (on the top floor of the same building)', 'good this sushi spot. One time I got a free calendar and it was pretty hilarious to watch 6 of my family members look at their zodiac symbol and argue whether they do or don’t fit the traits of their cosmic sign.', '. Can be an spiritual experience as there are symbolism and custom associations provided if you want to try them. Just ask the very knowledgeable Server.', '-its the price you pay for perfection', ""i love my foods served hot, taste good! If you're unsure how to eat or order, there is a video to tutor you how to. I like its simplicity."", '.com', ""the restaurant upstairs has (had?) infestation problems in the past, but that's no excuse for Urban Shabu."", ""the female vocalist blew us away! The food didn't."", 'kid friendly. They have a professional babysitting service at the restaurant. Wanna work or finish a paper and have someone watch your kid.', 'BESISTO']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
9,0.1906689595661501,"['– This is a great place if you like to go out for a night of dancing.', 'vegan pumpkin whoopie pie', 'good', 'there are symbolism and custom associations provided if you want to try them. Just ask the very knowledgeable Server.', '-its the price you pay for perfection', 'there is a video to tutor you how to.', '.com', ""has (had?) infestation problems in the past, but that's no excuse for Urban Shabu."", 'the female vocalist blew us away! The food didn’t.', 'kid friendly. They have a professional babysitting service at the restaurant. Wanna work or finish a paper and have someone watch your kid.', '.com']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]"
