,bleu,rouge1,rouge2,rougeL,rougeLsum,bertscore_avg_p,bertscore_avg_r,bertscore_avg_f1,preds,labels,train_nc_list
0,0.17,0.38,0.15,0.37,0.37,"macro avg: 0.6 
 micro avg: 0.6","macro avg: 0.57 
 micro avg: 0.57","macro avg: 0.58 
 micro avg: 0.58","model: flan-t5-small
learning_rate: 3e-05
num_train_epochs: 30.0
weight_decay: 0.001
per_device_train_batch_size: 4
gradient_accumulation_steps: 4",,
1,0.12,0.09,0.0,0.08,0.08,0.39,0.42,0.4,"[""I've been to this nightclub for years and have never had a bad experience."", ""I've been here twice and have never had a problem with the service."", ""I'm not a fan of the sashimi"", ""I'm a fan of the sexy atmosphere"", '- a lil pricy', ""I've been to the babs for years and have never had a problem with"", 'La Colombe', 'Urban Shabu', 'The female vocalist on 9/8/17 blew us away!', 'I love this place', 'I love Besito']","[['They have a nightclub on Saturday nights.'], ['Philly Community Acupuncture is on the top floor of the same building.'], ['One time a customer got a free calendar.'], ['They have a lounge area behind the bar. There are symbolism and custom associations provided.'], ['None'], [""If you're unsure how to eat or order, there is a video to tutor you how to.""], ['None'], ['None'], ['One day they had the best sounding band on Broadway.'], ['They have a professional babysitting service. They have a good selection of different size diapers in the restrooms.'], ['None']]",
2,0.06,0.04,0.02,0.05,0.05,0.37,0.39,0.38,"['I was worried about eating Mexican food the day before I had to travel somewhere (LOL)', 'I am sure of all ages', 'Upper deck', 'Service is very slow.', 'I have never been so disappointed in a karaoke venue in my entire life', 'Our server was attentive and helpful, both giving meal recommendations that were on point, along with ideas', 'I wish I could come back and order one of everything!', 'I am addicted to the French Onion Sauce and the plastic cheese sauce drenching', ""I've seen that"", 'They have a huge verity of hookah flavors, all hookahs come', ""I've only had the bahn mi sandwiches here, but they are really good.""]","[['One night they had a special event where customers got to pet a baby alligator, hold an anaconda and see a guy breathe fire and walk on glass. They had live music.'], ['On the weekends kids can experience ""Mark the Balloon Guy"". They have stuffed animal/puppets for sale at the front.'], ['They offer life size beer pong at their outside patio. They have a pool table. They recently added arcade games, such as nfl blitz 99 and madden 15.'], ['They are close to a dock area where customers can board paddle cruises.'], ['They are a karaoke venue.'], ['They offer a view of a river walk.'], ['None'], ['None'], ['They sells lottery tickets/ scratchers.'], ['They offer events such as a hypnosis show, drag show, karaoke night, or QuizO. They offer entertainment.'], ['None']]",
3,0.08,0.03,0.0,0.04,0.03,0.35,0.34,0.35,"[""Indoors but has floor to tall ceiling windows and feels like you're outdoors."", 'I was underwhelmed by the flight because each drink tasted more like the syrup', 'lackluster decor', ""I'm not satisfied or pleased with the seafood pan I ordered tonight its obvious Boil Sea"", 'I love the staff and appreciate their hard work. Public wanting a Ruth Chris experience should probably', 'Halal Kart (or just ""Kart"") has joined our lives at Pennsylvania Hospital,', 'Service is quick and accommodating.', 'NYE dinner: prix fixe meal with optional wine pairings.', 'VRBOX', 'Service is different for an Italian place. There are no paintings of Venice on the walls, thank', 'They have many different options to choose from including create-your-own burgers &']","[['They have table and floor games inside - Jenga and big Connect 4. There is a room for beach volleyball or badminton.'], ['None'], ['None'], ['None'], ['None'], ['None'], ['None'], ['They project Bollywood movies. For the NYE holiday they brought in a henna tattoo artist and a fortune teller.'], ['Customers can play virtual golf. Customers can play games like zombie dodgeball.'], ['Each table has a guidebook of Italy tourist spots.'], ['They have the car from the movie Good Burger. They sell souvenir T-shirts & hats, & a customer got a ""HI AF"" shirt. The shirts are heavily influenced by the movie Good Burger.']]",
4,0.08,0.02,0.01,0.02,0.02,0.36,0.33,0.34,"['They have a self-serve station in the front door area. They have a', 'Christophe was on top of his game, and how amazing.', ""They have a nice ambiance and it's not too loud."", ""They have a children's menu. They serve half rolls upon request."", 'They have polaroids of customers.', 'They have commercial beer on the mind.', 'They have good acoustics and even when busy the noise level is acceptable.', 'Healthy food.', 'Jerk Chicken', 'They have a pack of their friends.', 'Great fish tacos & carné asada tacos.']","[['The place is more of an indoor cat petting zoo than a cat cafe. Customers pay for the entrance fee to support the cats. The cats are available for adoption through the Stray Cat Alliance.'], ['They sell ponchos.'], ['None'], ['None'], ['None'], ['None'], ['They have an outside dining area overlooking a golf course.'], ['They have a mini trampoline.'], ['None'], ['None'], ['None']]",
5,0.2,0.44,0.1,0.42,0.43,0.67,0.64,0.65,"[""They have a variety of entree's, desserts, beers (9 o"", 'They have gobs if it...go to town!', 'They offer a playground in the adjoining park.', 'None', 'They get you right in and out!', 'They have great therapeutic sketching at every table.', 'They had a custom boot store....so it was a very expensive shoe mishap', 'They have a manatee.', 'None', 'They close at 2 pm, and are not open on weekends at all.', 'None']","[['They have free wifi. Customers can go upstairs to play ping pong or shuffleboard. They have a music venue with balcony seating.'], ['They have trivia nights. They offer a perfect vantage point of the 4th of July fireworks.'], [""They have an outside deck with a view of the parklands. Customers can go for a walk in the Goose Creek Park behind the restaurant. There's a playground in the adjoining park.""], ['None'], ['None'], ['They have therapeutic sketching at every table.'], ['None'], ['Customers can sit along the water where they can see manatees.'], ['None'], ['A paper studio where the women of the program are making journals and gift tags, etc. is right there. They sell their candles, lip balms, etc. Customers can support a local charity.'], ['None']]",
6,0.08,0.63,0.05,0.62,0.63,0.77,0.74,0.75,"['None', 'None', 'None', 'They have hibachi as well. They have hibachi as well.', ""There's an outdoor patio & tables if it's not too hot but"", 'None', 'None', 'They have a few beers on tap. They have a few beers on tap', 'None', 'None', 'They offer canoeing and kayaking.']","[['One day Derek St. Holmes (former vocalist/rythm guitar for Ted Nugent) played some nasty blues there.'], ['None'], ['None'], [""If you're there for a special occasion, they'll take a polaroid and add it to their wall.""], [""They offer a great spot around dusk because the peacocks come out of the park woods & will walk right up to the outdoor area. Customers can catch the sunset- there's a long public dock w benches to comfortably sit on & watch the blaze of glory.""], ['None'], ['None'], ['They are a place on the water. Boaters can come right up to dock. Customers can bring their pets.'], ['None'], ['None'], ['They offer canoeing and kayaking. Customers can feed the sunny fish off the deck.']]",
7,0.18,0.69,0.19,0.7,0.69,0.81,0.76,0.78,"['None', 'None', 'None', 'They feature an array of used books that range from ""Basics of Mechanical Engineering"" to', 'None', 'They catch an airboat ride down the road.', 'None', 'None', 'None', 'They have a rooster, a goat, several pigs and', 'They gave my kiddo a free comic.']","[['None'], ['Cider and yoga was happening the day a customer was there. There was a henna artist doing tattoos one night.'], ['None'], ['They feature an array of used books that range from ""Basics of Mechanical Engineering"" to ""A Guide on Planetary Leadership."" They have so-so internet.'], ['None'], ['They offer a great view of gators in a pond/bayou partition. Customers can catch an airboat ride down the road.'], ['None'], ['None'], ['Customers can bet 4 ways; scratch off lottery machine, keno, computer nascar style racing and computer football.'], [""Customers are encouraged to visit their 'petting zoo' in the back. They have a rooster, a goat, several pigs and the cutest little piglet.""], ['They gave a kid a free comic.']]",
8,0.47,0.71,0.39,0.71,0.71,0.85,0.78,0.81,"['They have a concert at the AVA amphitheater.', 'They have a book exchange area, and also a community scarf/blanket project', 'They have a beautiful garden with hummingbirds and songbirds alike.', 'None', 'Live music and lounge area with sofas added to the cool, urban vibe. Kids can snorkel', ""They have a ton of pokestops around. It's right across from the"", 'They have a nice wooden decor, friendly staff, and good beer selection that can make for', 'None', 'None', 'They had two dance floors, a photo booth, and a great view of the Penn', 'They have a playroom for the kids.']","[['They are a casino. Customers can see a concert at the AVA amphitheater.'], ['Live bands play there. They have free Wifi. They have a book exchange area, and also a community scarf/blanket project where you can pick up where some left off on their knitting and then leave it for the next person.'], ['The view from inside the restaurant, facing west, has a beautiful garden with hummingbirds and songbirds alike.'], ['None'], ['They have live music and lounge area with sofas. Kids can snorkel in the fish tank.'], [""There are a ton of pokestops around since it's right across from the cemetery. It is a pokestop by itself.""], ['None'], ['None'], ['None'], ['For New Years they had two dance floors, a photo booth, and a great view of the Penns Landing fireworks.'], ['They have a nice playroom for the kids.']]",
9,0.18,0.65,0.27,0.65,0.65,0.81,0.73,0.76,"['They have an open air beach view.', 'None', 'None', 'None', 'Behind the restaurant is a huge area of plants for sale.', 'None', 'None', 'They have board games to play. They have a stage area for small concerts.', 'None', 'There were watercolors of the Philly area, done by a local artist, on the', 'They have an on site medium to contact your ancestors and read your cards to awake']","[['One day sunbathers were laying out on the sand in front of the restaurant and beyond them was the gorgeous waves crashing on the shore. Custumers watched kite surfers and jet powered surfboard surfers cruise the water on a windy day. There is fresh air and dolphin spotting. They have an open air beach view.'], ['None'], ['None'], ['The sushi chef once did a puppet show for customers who sat at the counter.'], ['Behind the restaurant is a huge area of plants for sale and a cute indoor store with beautiful pots, candles, terrariums, etc.'], ['They have an audiobook teaching Italian in the bathroom.'], ['None'], ['They have board games to play. They have trivia Pursuit. They have a stage are for small concerts.'], ['None'], ['There were watercolors of the Philly area, done by a local artist, on the walls. The paintings were for sale.'], ['They have an on site medium to contact your ancestors and read your cards to awaken your spirituality. They have an apothecary area where they assemble their medicinal teas and perform their spiritual readings.']]",
10,0.18,0.41,0.25,0.41,0.41,0.61,0.57,0.59,"['They are local artists. They have customized Carmel sportswear and greeting cards for birthdays or', 'None', ""They have a farmer's market. Customers can see local wildlife. Everyone from moms"", 'On the plus side, there was an Arizona Greyhound Rescue event going on outside and there was', 'They have a bookstore/gift shop at either entrances of a wonderful former planeta', 'They have a huge menu.', 'None', 'They have a free tour. They have a free tour. Customers can walk through their', 'They have free wifi.', 'None', 'None']","[['They are visited by local artists. Customers can pick up customized Carmel sportswear and greeting cards for birthdays or anniversary gifts.'], ['Customers can walk a long hallway in the building leading to a garden, and take in the numerous pieces of art lining the walls. They have a gift shop where a customer purchased a cute wallet, a shawl and a necklace.'], ['You can see local wildlife there. Everyone from moms to anarchists to hackers to organic gardeners to activists hangs out there.'], ['One day they hosted an Arizona Greyhound Rescue event. A customer pet the hounds and talked with the rescue folks.'], ['They have a bookstore/gift shop at either entrances.'], ['One evening they had a woman making balloon puppets and animals.'], ['They have a capoiera/zumba studio in the back.'], ['They offer a tour. They have a 10 dollar fresh day tour. They have a free tour. Customers can walk through their museum. Customers can see Clydesdales horses.'], ['They have free wifi. On the stoop customers can find bags of coffee grounds for compost.'], ['They have an outreach program to help at-risk youth by providing training, etc. They have a meal sponsorship program to support students.'], ['None']]",
